retained_blocks,student_rank,head_parameters,head_compression,exact_local_distortion,exact_pair_distortion,exact_uniform_output_error,optimal_rank_output_rms_lower_bound,optimal_jacobian_loss,pair_accuracy_at_5_percent,simultaneous_pass_at_5_percent
15.0,60.0,78544.0,5.120594825830108,0.01747288792074453,0.01747288792074453,0.013354383838435768,0.013354383838435766,0.11342344301894958,1.0,1.0
16.0,64.0,83728.0,4.80355436652016,0.016259419756400884,0.016259419756400884,0.012158206676121048,0.012158206676121048,0.10561094301894958,1.0,1.0
17.0,68.0,88912.0,4.523483894187511,0.015185762558518778,0.015185762558518778,0.011129955801200074,0.011129955801200074,0.09869052779403598,1.0,1.0
18.0,72.0,94096.0,4.274273082809046,0.014229073566761508,0.014229073566761508,0.010238356428264407,0.010238356428264407,0.09251768828786311,1.0,1.0
19.0,76.0,99280.0,4.051087832393232,0.013371228483524678,0.013371228483524678,0.00945924000978661,0.009459240009786611,0.08697752208287701,1.0,1.0
20.0,80.0,104464.0,3.850053606984224,0.012597663126967973,0.012597663126967973,0.008773666369468797,0.008773666369468797,0.08197752208287712,1.0,1.0
21.0,84.0,109648.0,3.66802860061287,0.011896540314673465,0.011896540314673465,0.008166605208276525,0.008166605208276525,0.07744237469058701,1.0,1.0
22.0,88.0,114832.0,3.5024383447122753,0.011258140216279466,0.011258140216279466,0.007625993209791487,0.007625993209791487,0.07331014328562846,1.0,1.0
23.0,92.0,120016.0,3.3511531795760567,0.01067440724213109,0.01067440724213109,0.007142048506267159,0.007142048506267159,0.06952942494914449,1.0,1.0
24.0,96.0,125200.0,3.212396166134185,0.01013860850452486,0.01013860850452486,0.006706764740590358,0.006706764740590357,0.06605720272692217,1.0,1.0
25.0,100.0,130384.0,3.084672966008099,0.009645073065511434,0.009645073065511434,0.006313532552036621,0.006313532552036621,0.06285720272692208,1.0,1.0
26.0,104.0,135568.0,2.9667178095125695,0.009188990524617524,0.009188990524617524,0.005956852845887151,0.005956852845887151,0.05989862284526515,1.0,1.0
27.0,108.0,140752.0,2.857451403887689,0.00876625376850948,0.00876625376850948,0.005632117095838474,0.005632117095838474,0.05715513862029953,1.0,1.0
28.0,112.0,145936.0,2.7559478127398314,0.008373334984761005,0.008373334984761005,0.005335437228550559,0.00533543722855056,0.0546041182121364,1.0,1.0
29.0,116.0,151120.0,2.66140815246162,0.008007187010482752,0.008007187010482752,0.005063512614643637,0.005063512614643637,0.052225996927950824,1.0,1.0
30.0,120.0,156304.0,2.573139522980858,0.007665164175442829,0.007665164175442829,0.004813525131978237,0.004813525131978238,0.0500037747057287,1.0,1.0
31.0,124.0,161488.0,2.490537996631329,0.007344958288864056,0.007344958288864056,0.004583055681041516,0.004583055681041516,0.0479226092530749,1.0,1.0
32.0,128.0,166672.0,2.4130747816069884,0.007044546494486603,0.007044546494486603,0.004370017247416126,0.004370017247416125,0.0459694842530749,1.0,1.0
33.0,132.0,171856.0,2.3402848896750768,0.00676214850381085,0.00676214850381085,0.00417260083958487,0.00417260083958487,0.044132936961982505,1.0,1.0
34.0,136.0,177040.0,2.2717577948486216,0.0064961912971222,0.0064961912971222,0.003989231527041444,0.003989231527041444,0.04240283315575377,1.0,1.0
35.0,140.0,182224.0,2.2071296865396435,0.006245279814054205,0.006245279814054205,0.0038185324625016033,0.003818532462501603,0.04077018009452971,1.0,1.0
36.0,144.0,187408.0,2.146077008452147,0.006008172480654994,0.006008172480654994,0.0036592952607911134,0.003659295260791114,0.03922697021798616,1.0,1.0
37.0,148.0,192592.0,2.088311040957049,0.00578376066680808,0.00578376066680808,0.0035104554729455555,0.0035104554729455555,0.03776604983814691,1.0,1.0
38.0,152.0,197776.0,2.033573335490656,0.0055710513568096864,0.0055710513568096864,0.0033710721704220004,0.0033710721704220004,0.036381008286900496,1.0,1.0
39.0,156.0,202960.0,1.981631848640126,0.005369152461675797,0.005369152461675797,0.00324031086472517,0.00324031086472517,0.03506608389505317,1.0,1.0
40.0,160.0,208144.0,1.9322776539318933,0.005177260315005094,0.005177260315005094,0.003117429149163775,0.003117429149163775,0.03381608389505297,1.0,1.0
41.0,164.0,213328.0,1.8853221330533263,0.004994648982846739,0.004994648982846739,0.0030017645741806883,0.0030017645741806888,0.03262631589981213,1.0,1.0
42.0,168.0,218512.0,1.840594566888775,0.004820661087804101,0.004820661087804101,0.0028927243647425193,0.0028927243647425193,0.03149252905173938,1.0,1.0
43.0,172.0,223696.0,1.797940061512052,0.004654699902920889,0.004654699902920889,0.0027897766642667327,0.0027897766642667327,0.03041086328646081,1.0,1.0
44.0,176.0,228880.0,1.7572177560293603,0.004496222514972614,0.004496222514972614,0.0026924430494410195,0.00269244304944102,0.029377805435221394,1.0,1.0
45.0,180.0,234064.0,1.718299268576116,0.004344733892129304,0.004344733892129304,0.00260029210774491,0.00260029210774491,0.028390151114233486,1.0,1.0
46.0,184.0,239248.0,1.6810673443456163,0.004199781719435691,0.004199781719435691,0.002512933907304549,0.0025129339073045494,0.027444971530112827,1.0,1.0
47.0,188.0,244432.0,1.6454146756562151,0.0040609518886162155,0.0040609518886162155,0.0024300152190145754,0.002430015219014576,0.02653958447714766,1.0,1.0
48.0,192.0,249616.0,1.6112428690468559,0.003927864547490945,0.003927864547490945,0.002351215375263828,0.002351215375263828,0.025671528921591857,1.0,1.0
49.0,196.0,254800.0,1.5784615384615384,0.0038001706296393323,0.0038001706296393323,0.002276242669348363,0.0022762426693483636,0.02483854266586505,1.0,1.0
50.0,200.0,259984.0,1.546987506923503,0.00367754879755422,0.00367754879755422,0.002204831215708396,0.0022048312157083956,0.024038542665865137,1.0,1.0
51.0,204.0,265168.0,1.5167441018524106,0.003559702742926607,0.003559702742926607,0.002136738204234126,0.002136738204234126,0.023269607640874934,1.0,1.0
52.0,208.0,270352.0,1.487660531455288,0.0034463587963178277,0.0034463587963178277,0.0020717414926346785,0.0020717414926346785,0.0225299626704607,1.0,1.0
53.0,212.0,275536.0,1.4596713315138494,0.003337263805626378,0.003337263805626378,0.002009637489714998,0.0020096374897149985,0.021817965518449167,1.0,1.0
54.0,216.0,280720.0,1.4327158734682246,0.0032321832487378632,0.0032321832487378632,0.0019502392897214264,0.0019502392897214264,0.021132094462207984,1.0,1.0
55.0,220.0,285904.0,1.4067379260171247,0.0031308995507428605,0.0031308995507428605,0.001893375023986614,0.001893375023986614,0.02047093743741435,1.0,1.0
56.0,224.0,291088.0,1.3816852635629089,0.0030332105803154708,0.0030332105803154708,0.0018388864011588005,0.0018388864011588005,0.019833182335373678,1.0,1.0
57.0,228.0,296272.0,1.3575093157638927,0.0029389283033858238,0.0029389283033858238,0.0017866274115238198,0.0017866274115238198,0.019217608312597445,1.0,1.0
58.0,232.0,301456.0,1.3341648532455814,0.0028478775752400765,0.0028478775752400765,0.0017364631744688837,0.0017364631744688837,0.01862307799155083,1.0,1.0
59.0,236.0,306640.0,1.311609705191756,0.0027598950547217393,0.0027598950547217393,0.0016882689111151492,0.0016882689111151492,0.018048530447741573,1.0,1.0
60.0,240.0,311824.0,1.289804505105444,0.002674828226373438,0.002674828226373438,0.001641929026658464,0.001641929026658464,0.01749297489218593,1.0,1.0
61.0,244.0,317008.0,1.2687124615151668,0.002592534518206402,0.002592534518206402,0.001597336289083626,0.001597336289083626,0.016955484970122114,1.0,1.0
62.0,248.0,322192.0,1.2482991508169041,0.0025128805043587166,0.0025128805043587166,0.0015543910927216,0.0015543910927216,0.016435193606958887,1.0,1.0
63.0,252.0,327376.0,1.2285323297981525,0.0024357411832675036,0.0024357411832675036,0.0015130007966543547,0.0015130007966543547,0.015931288341148875,1.0,1.0
64.0,256.0,332560.0,1.2093817656964156,0.0023609993231380466,0.0023609993231380466,0.0014730791292819033,0.0014730791292819035,0.015443007091148875,1.0,1.0
65.0,260.0,337744.0,1.1908190819081907,0.002288544867504627,0.002288544867504627,0.0014345456514866589,0.0014345456514866589,0.014969634310083801,1.0,1.0
66.0,264.0,342928.0,1.1728176176923435,0.002218274394540809,0.002218274394540809,0.0013973252717911296,0.0013973252717911298,0.01451049748731048,1.0,1.0
67.0,268.0,348112.0,1.1553523004090638,0.002150090624536416,0.002150090624536416,0.0013613478077309624,0.0013613478077309626,0.014064963960912724,1.0,1.0
68.0,272.0,353296.0,1.1383995290068385,0.002083901970606261,0.002083901970606261,0.0013265475883769541,0.0013265475883769541,0.013632438009355763,1.0,1.0
69.0,276.0,358480.0,1.1219370676188352,0.002019622128268672,0.002019622128268672,0.0012928630935540827,0.0012928630935540827,0.013212358194190532,1.0,1.0
70.0,280.0,363664.0,1.1059439482599323,0.00195716970002513,0.00195716970002513,0.0012602366258372094,0.0012602366258372094,0.012804194928884627,1.0,1.0
71.0,284.0,368848.0,1.090400381729059,0.0018964678515089872,0.0018964678515089872,0.0012286140118639597,0.0012286140118639597,0.012407448251638087,1.0,1.0
72.0,288.0,374032.0,1.0752876759207768,0.001837443996147492,0.001837443996147492,0.0011979443299055318,0.0011979443299055318,0.012021645782501977,1.0,1.0
73.0,292.0,379216.0,1.0605881608370955,0.0017800295056180637,0.0017800295056180637,0.001168179660984386,0.001168179660984386,0.011646340847242254,1.0,1.0
74.0,296.0,384400.0,1.0462851196670135,0.001724159443667772,0.001724159443667772,0.0011392748611311555,0.0011392748611311555,0.01128111075228233,1.0,1.0
75.0,300.0,389584.0,1.0323627253685983,0.0016697723211287485,0.0016697723211287485,0.0011111873526378005,0.0011111873526378005,0.01092555519672711,1.0,1.0
76.0,304.0,394768.0,1.0188059822478013,0.0016168098701839773,0.0016168098701839773,0.00108387693239522,0.00108387693239522,0.010579294808915396,1.0,1.0
77.0,308.0,399952.0,1.0056006720806496,0.0015652168361428576,0.0015652168361428576,0.0010573055956056017,0.0010573055956056017,0.010241969796265682,1.0,1.0
78.0,312.0,405136.0,0.9927333043718652,0.001514940785161456,0.001514940785161456,0.001031437373336505,0.001031437373336505,0.00991323869830385,1.0,1.0
79.0,316.0,410320.0,0.9801910703840905,0.0014659319265015736,0.0014659319265015736,0.0010062381825381684,0.0010062381825381686,0.009592777233794703,1.0,1.0
80.0,320.0,415504.0,0.9679618006084177,0.0014181429480614183,0.0014181429480614183,0.0009816756872805378,0.0009816756872805378,0.009280277233794987,1.0,1.0
81.0,324.0,420688.0,0.9560339253793786,0.0013715288640361312,0.0013715288640361312,0.0009577191700842574,0.0009577191700842574,0.008975445653243153,1.0,1.0
82.0,328.0,425872.0,0.9443964383664575,0.0013260468736780995,0.0013260468736780995,0.0009343394123222919,0.0009343394123222919,0.008678003654432942,1.0,1.0
83.0,332.0,431056.0,0.933038862699974,0.0012816562302232493,0.0012816562302232493,0.0009115085827575208,0.0009115085827575208,0.008387685756334307,1.0,1.0
84.0,336.0,436240.0,0.9219512195121952,0.0012383181191406578,0.0012383181191406578,0.0008892001333578829,0.000889200133357883,0.00810423904431623,1.0,1.0
85.0,340.0,441424.0,0.9111239986951322,0.0011959955449417636,0.0011959955449417636,0.0008673887015954873,0.0008673887015954873,0.007827422435319864,1.0,1.0
86.0,344.0,446608.0,0.9005481316949092,0.0011546532258522868,0.0011546532258522868,0.000846050018490348,0.000846050018490348,0.007557005994000221,1.0,1.0
87.0,348.0,451792.0,0.8902149661791267,0.0011142574957213602,0.0011142574957213602,0.0008251608217036116,0.0008251608217036116,0.007292770295757478,1.0,1.0
88.0,352.0,456976.0,0.8801162424284864,0.0010747762125897786,0.0010747762125897786,0.0008046987730196512,0.0008046987730196512,0.007034505832947513,1.0,1.0
89.0,356.0,462160.0,0.8702440713172928,0.00103617867339878,0.00103617867339878,0.0007846423795812961,0.0007846423795812961,0.006782012460898379,1.0,1.0
90.0,360.0,467344.0,0.8605909137594577,0.0009984355343634066,0.0009984355343634066,0.0007649709182575664,0.0007649709182575664,0.006535098880651624,1.0,1.0
91.0,364.0,472528.0,0.8511495615074662,0.0009615187365737965,0.0009615187365737965,0.0007456643625281022,0.0007456643625281021,0.00629358215561826,1.0,1.0
92.0,368.0,477712.0,0.8419131192015272,0.0009254014364321606,0.0009254014364321606,0.0007267033112622156,0.0007267033112622155,0.0060572872595878735,1.0,1.0
93.0,372.0,482896.0,0.8328749875749644,0.0008900579405590747,0.0008900579405590747,0.0007080689187518695,0.0007080689187518695,0.005826046653737649,1.0,1.0
94.0,376.0,488080.0,0.8240288477298804,0.0008554636448403485,0.0008554636448403485,0.0006897428253251629,0.0006897428253251629,0.005599699890496357,1.0,1.0
95.0,380.0,493264.0,0.8153686464043596,0.000821594977308604,0.000821594977308604,0.0006717070878176303,0.0006717070878176302,0.0053780932422968775,1.0,1.0
96.0,384.0,498448.0,0.8068885821590216,0.000788429344581898,0.000788429344581898,0.0006539441091095646,0.0006539441091095646,0.005161079353408038,1.0,1.0
97.0,388.0,503632.0,0.7985830924166852,0.0007559450816034818,0.0007559450816034818,0.000636436565844263,0.0006364365658442631,0.004948516913191092,1.0,1.0
98.0,392.0,508816.0,0.7904468412942989,0.0007241214044477751,0.0007241214044477751,0.0006191673333186758,0.0006191673333186758,0.00474027034925939,1.0,1.0
99.0,396.0,514000.0,0.7824747081712062,0.0006929383659760591,0.0006929383659760591,0.0006021194063765557,0.0006021194063765558,0.004536209539137914,1.0,1.0
100.0,400.0,519184.0,0.7746617769422787,0.000662376814144161,0.000662376814144161,0.0005852758149242594,0.0005852758149242594,0.004336209539137936,1.0,1.0
101.0,404.0,524368.0,0.7670033259085223,0.0006324183527776084,0.0006324183527776084,0.0005686195324165356,0.0005686195324165356,0.004140150329256631,1.0,1.0
102.0,408.0,529552.0,0.7594948182614738,0.00060304530464661,0.00060304530464661,0.0005521333753044361,0.0005521333753044361,0.003947916573009191,1.0,1.0
103.0,412.0,534736.0,0.7521318931210915,0.0005742406766842123,0.0005742406766842123,0.0005357998909730717,0.0005357998909730717,0.003759397391182251,1.0,1.0
104.0,416.0,539920.0,0.7449103570899392,0.0005459881272052991,0.0005459881272052991,0.0005196012310860714,0.0005196012310860714,0.0035744861485786927,1.0,1.0
105.0,420.0,545104.0,0.7378261762892953,0.0005182719349912102,0.0005182719349912102,0.0005035190064439706,0.0005035190064439706,0.003393080252886982,1.0,1.0
106.0,424.0,550288.0,0.7308754688454046,0.0004910769701200746,0.0004910769701200746,0.00048753411838102457,0.0004875341183810246,0.0032150809648845424,1.0,1.0
107.0,428.0,555472.0,0.7240544977964686,0.00046438866642517507,0.00046438866642517507,0.00047162656026204927,0.00047162656026204927,0.0030403932192295535,1.0,1.0
108.0,432.0,560656.0,0.7173596643931395,0.0004381929954813124,0.0004381929954813124,0.0004557751806413808,0.0004557751806413808,0.002868925455169258,1.0,1.0
109.0,436.0,565840.0,0.710787501767284,0.00041247644201602984,0.00041247644201602984,0.00043995739687767427,0.00043995739687767427,0.002700589456515967,1.0,1.0
110.0,440.0,571024.0,0.7043346689456135,0.00038722598065932257,0.00038722598065932257,0.00042414884411026986,0.0004241488441102698,0.0025353002003178915,1.0,1.0
111.0,444.0,576208.0,0.6979979451864604,0.0003624290539451236,0.0003624290539451236,0.00040832293895540325,0.00040832293895540325,0.00237297571366879,1.0,1.0
112.0,448.0,581392.0,0.6917742246195339,0.00033807355148829377,0.00033807355148829377,0.0003924503292253446,0.0003924503292253446,0.0022135369381586223,1.0,1.0
113.0,452.0,586576.0,0.6856605111699081,0.0003141477902637302,0.0003141477902637302,0.0003764981890467653,0.0003764981890467653,0.002056907601483804,1.0,1.0
114.0,456.0,591760.0,0.6796539137488171,0.0002906404959197584,0.0002906404959197584,0.00036042930070693483,0.00036042930070693483,0.0019030140957898567,1.0,1.0
115.0,460.0,596944.0,0.6737516416950333,0.0002675407850638578,0.0002675407850638578,0.00034420083657107713,0.00034420083657107713,0.001751785362330338,1.0,1.0
116.0,464.0,602128.0,0.6679510004517312,0.00024483814846221197,0.00024483814846221197,0.00032776270980485237,0.00032776270980485237,0.0016031527820690172,1.0,1.0
117.0,468.0,607312.0,0.6622493874647628,0.0002225224350973498,0.0002225224350973498,0.00031105528925571527,0.00031105528925571527,0.001457050071863808,1.0,1.0
118.0,472.0,612496.0,0.6566442882892296,0.00020058383703480676,0.00020058383703480676,0.0002940061486957677,0.0002940061486957677,0.001313413185911383,1.0,1.0
119.0,476.0,617680.0,0.6511332728921124,0.0001790128750502884,0.0001790128750502884,0.0002765252980158595,0.0002765252980158595,0.0011721802221376088,1.0,1.0
120.0,480.0,622864.0,0.6457139921395361,0.00015780038497337223,0.00015780038497337223,0.000258497927872478,0.000258497927872478,0.0010332913332486982,1.0,1.0
121.0,484.0,628048.0,0.6403841744580032,0.00013693750470611388,0.00013693750470611388,0.0002397728740082376,0.0002397728740082376,0.0008966886421757359,1.0,1.0
122.0,488.0,633232.0,0.6351416226596256,0.00011641566187892138,0.00011641566187892138,0.00022014324734172543,0.00022014324734172543,0.0007623161616594487,1.0,1.0
123.0,492.0,638416.0,0.629984210922032,9.622656210639402e-05,9.622656210639402e-05,0.00019931156378441052,0.00019931156378441054,0.0006301197177438489,1.0,1.0
124.0,496.0,643600.0,0.6249098819142325,7.636217780981891e-05,7.636217780981891e-05,0.00017682089102390354,0.00017682089102390354,0.000500046876953153,1.0,1.0
125.0,500.0,648784.0,0.6199166440602728,5.681473757479516e-05,5.681473757479516e-05,0.00015190005761186258,0.00015190005761186258,0.00037204687695302496,1.0,1.0
126.0,504.0,653968.0,0.6150025689330365,3.7576716014231515e-05,3.7576716014231515e-05,0.00012303906432111747,0.0001230390643211175,0.00024607056050074405,1.0,1.0
127.0,508.0,659152.0,0.610165788771027,1.864082410896195e-05,1.864082410896195e-05,8.631674575031098e-05,8.631674575031098e-05,0.0001220703125,1.0,1.0
128.0,512.0,664336.0,0.6054044941114135,0.0,0.0,0.0,0.0,0.0,1.0,1.0
