x,y,z
0.9154445522,0.0105687239,0.5259871253
-0.6616799627,-0.6205059822,0.4870182781
0.08899190249,1.135239758,0.4100621594
0.7317202747,-0.6918695292,0.688016708
-1.122659537,-0.08887816284,0.5613696464
0.8435810801,0.4825504688,0.5893647504
-0.3380677222,-0.9649959301,0.5099540021
-0.3834259446,1.16534117,0.3662381228
0.9014540543,-0.2938464704,0.5383255846
-0.8688779367,-0.3969348491,0.4801971522
0.3924357272,1.10172957,0.3835202827
0.5901125875,-0.8453394554,0.8129029494
-1.21725405,0.03279034277,0.6095295918
0.9253665603,0.201942067,0.5172367366
-0.5370364389,-0.7661833091,0.4618618373
-0.1027810298,1.144543278,0.3810225669
0.828992833,-0.56848558,0.6022303751
-1.051110535,-0.1909872848,0.4985664577
0.7957699929,0.6404918211,0.631530166
-0.2313450888,-1.081604638,0.509667007
-0.5422428159,1.165300007,0.3123041714
0.9484263189,-0.1093019098,0.4968999411
-0.7518768651,-0.540372315,0.4390751044
0.2077969174,1.114550726,0.3704678765
0.7069908517,-0.7785679552,0.709826009
-1.185596677,-0.02900382562,0.5382736722
0.9110665556,0.389774043,0.5298481553
-0.412831745,-0.9073938158,0.4471381067
-0.2911649344,1.150842929,0.3415411058
0.9098430471,-0.4130813476,0.5309271884
-0.9565836086,-0.3154722912,0.4428450721
0.5102346243,1.078381645,0.3333269104
-0.1409110422,-1.177243573,0.5177231182
-0.674824574,1.160793602,0.2500258026
0.9717313706,0.08642905591,0.4763468174
-0.6253996556,-0.6902563319,0.4081499495
0.01184750112,1.125718445,0.3472065002
0.8143688925,-0.6715386467,0.6151274784
-1.125951194,-0.119782184,0.4711193296
0.8733500313,0.5641949559,0.5631110032
-0.2958020324,-1.036918053,0.442497122
-0.4663121727,1.153366035,0.2919710636
0.9703640723,-0.2328381387,0.4775526611
-0.8436186998,-0.4567352074,0.3958854558
0.330069238,1.092325081,0.326119127
0.6739531264,-0.851835654,0.738962544
-1.238764254,0.02157004164,0.5187462444
0.970273023,0.283518332,0.4776329591
-0.4960012576,-0.8392522178,0.3878906709
-0.1856165327,1.134252165,0.3132699026
0.9071933092,-0.5287263151,0.5332640376
-1.040935558,-0.235855771,0.4102410768
0.8142980463,0.715862809,0.6151899588
-0.1924293012,-1.148023808,0.4470400366
-0.6188948662,1.151527789,0.2332145767
1.007664935,-0.03640956004,0.4446563927
-0.7178322161,-0.6081703128,0.3589298143
0.1336018815,1.105103273,0.3088958284
0.790163067,-0.7642397073,0.6364750098
-1.192994419,-0.05551459151,0.4477905968
0.9442594557,0.4718802374,0.500574769
-0.3705154673,-0.9799355427,0.3782047107
-0.3745359859,1.139293831,0.2687536039
0.9810943953,-0.3565994376,0.4680894058
-0.9345698577,-0.3721177881,0.3575184905
0.4523846691,1.068845713,0.2769479195
-0.1085855217,-1.234838143,0.4593621386
-0.7406184185,1.144965133,0.166679445
1.020038824,0.1665335436,0.4337436483
-0.585623114,-0.76251261,0.3327103119
-0.06953307257,1.115681522,0.2809271753
0.8940321382,-0.6374803708,0.5448710994
-1.119749873,-0.1605563453,0.3821573294
0.8952058041,0.6417162759,0.5438360234
-0.2556870898,-1.105194023,0.3784370296
-0.5451312059,1.140155726,0.2143156626
1.032630222,-0.1632905913,0.422639079
-0.8120732561,-0.5223053701,0.3144312712
0.25920825,1.082925835,0.2658619737
0.7575183,-0.8438476196,0.6652649882
-1.250485517,-0.0002881693462,0.4280878226
1.007067689,0.3658155021,0.4451831138
-0.4538351183,-0.9122236919,0.3174042187
-0.26919137,1.123124284,0.2420385208
0.9807669907,-0.4771954049,0.4683781495
-1.022454356,-0.2890295829,0.3239086714
0.5713723616,1.04442573,0.2230209078
-0.157807302,-1.20861424,0.3873997196
-0.6884320709,1.136359265,0.1511468935
1.059481432,0.0418249624,0.3989585378
-0.6795949365,-0.6793252768,0.2819755423
0.05408233282,1.095296779,0.244135676
0.8711700575,-0.736281549,0.5650335594
-1.191027407,-0.09188994535,0.3582441816
0.9696574206,0.551297897,0.4781758694
-0.3293933215,-1.049894156,0.3126189389
-0.4552587899,1.126646388,0.1926252159
1.046400888,-0.290863774,0.4104944929
-0.9058422642,-0.4351141583,0.2747505002
0.3853295817,1.059454383,0.2180099787
-0.08237194427,-1.284832255,0.4034305981
-1.296956383,0.04407037476,0.4114246832
1.060586164,0.248619814,0.3979842554
-0.5438935446,-0.8356259565,0.2606059343
-0.1529022132,1.104955717,0.2113167136
0.9698351428,-0.5913642077,0.4780191332
-1.105108114,-0.2099078764,0.2948598865
0.6837930664,1.019400517,0.164535254
-0.2189347739,-1.168640832,0.3174077578
-0.6181918284,1.125656366,0.1336366947
1.088013082,-0.08742292886,0.3737959871
-0.775717727,-0.5919944532,0.2359380459
0.1820517488,1.073311927,0.20264497
0.8396763023,-0.8223753225,0.5928084408
-1.252998002,-0.03196505347,0.3380407446
1.036207757,0.4467476494,0.4194839896
-0.4119823709,-0.9835959413,0.2502066085
-0.3514289745,1.111027937,0.1675234355
1.049061122,-0.4157933324,0.4081483872
-0.9968942195,-0.3490616511,0.2398500993
0.5086471033,1.034990177,0.1653784187
-0.1284529939,-1.262477393,0.3303154926
-0.7495299824,1.119789533,0.06653066636
1.103892836,0.1231940402,0.3597913605
-0.6386551035,-0.7522132485,0.2082054393
-0.02856960788,1.084940515,0.1761938021
0.9490395276,-0.6960495682,0.4963591418
-1.18052966,-0.1370596899,0.2700524321
0.9879315042,0.6261905001,0.4620596425
-0.2907593643,-1.11596713,0.250092816
-0.5315012658,1.112814253,0.1134431308
1.105350272,-0.2179272312,0.3585060232
-0.8717512585,-0.5029194184,0.1947185974
0.3111031233,1.04998314,0.1563355078
0.6127826131,-1.157904294,-0.1941129699
-1.304160297,0.01736575505,0.3209879918
1.093639195,0.3305765436,0.3688342223
-0.5016569511,-0.9080614394,0.191722927
-0.2361595758,1.093386094,0.1384885225
1.040998737,-0.5348400569,0.4152587423
-1.083074497,-0.2665640653,0.209562069
0.6259420776,1.00985953,0.108136404
-0.1866418709,-1.226201263,0.2590429433
-0.6839724095,1.109829192,0.05029982442
1.136351073,-0.007355316733,0.3311658864
-0.7359689881,-0.6642291433,0.1604754867
0.1007043301,1.063280543,0.1363982427
0.7814747959,-1.031397413,-0.192134897
-1.246927622,-0.07260621168,0.2490527606
1.058191062,0.5243821322,0.4000965368
-0.3717878146,-1.051982682,0.1860840848
-0.4304033376,1.097849378,0.08993793391
1.111516596,-0.3463900589,0.3530678363
-0.965470689,-0.4145331581,0.158305852
0.4379535048,1.025601786,0.1052198245
0.4862555252,-1.204088078,-0.2296829019
-0.8010325104,1.101827909,-0.02020671469
1.140989166,0.2055986439,0.3270754731
