model,true_torus_distance,learned_distance
r2_gw,0.5143572092056274,0.5624178051948547
r2_gw,0.7188140153884888,0.393634557723999
r2_gw,0.8397419452667236,0.6076334714889526
r2_gw,0.6652870774269104,0.6057788133621216
r2_gw,0.6634331941604614,0.01231126207858324
r2_gw,0.2642844319343567,0.2407432645559311
r2_gw,0.27924466133117676,0.17013733088970184
r2_gw,0.5047980546951294,0.1026546061038971
r2_gw,0.49170932173728943,0.07530032098293304
r2_gw,0.5197443962097168,0.19652289152145386
r2_gw,0.5770744681358337,0.3523712158203125
r2_gw,0.11774713546037674,0.1192740648984909
r2_gw,0.2796567380428314,0.3098556101322174
r2_gw,0.28353241086006165,0.04956775903701782
r2_gw,0.37654441595077515,0.5075811743736267
r2_gw,0.8921075463294983,0.6193198561668396
r2_gw,0.6734033226966858,0.7078814506530762
r2_gw,0.8732751607894897,0.6557561159133911
r2_gw,0.4721581041812897,0.6457579135894775
r2_gw,0.6277548670768738,0.6101100444793701
r2_gw,0.4447692036628723,0.5115087628364563
r2_gw,0.6886357069015503,0.30286750197410583
r2_gw,0.31319552659988403,0.3761777877807617
r2_gw,0.8939830660820007,0.6346583962440491
r2_gw,0.10608743131160736,0.01727370359003544
r2_gw,0.3139662742614746,0.4397856891155243
r2_gw,0.6688467264175415,0.6328102350234985
r2_gw,0.5992099046707153,0.43465059995651245
r2_gw,0.36179742217063904,0.06654713302850723
r2_gw,0.5816219449043274,0.19957485795021057
r2_gw,0.6620252132415771,0.632859468460083
r2_gw,0.6784799695014954,0.5965396165847778
r2_gw,0.665431797504425,0.5703719258308411
r2_gw,0.8160514235496521,0.5201317071914673
r2_gw,0.8779122233390808,0.6180954575538635
r2_gw,0.46747875213623047,0.16191703081130981
r2_gw,0.7603618502616882,0.5873850584030151
r2_gw,0.6073200106620789,0.22457773983478546
r2_gw,0.6865273118019104,0.23319929838180542
r2_gw,0.3500484824180603,0.5497090220451355
r2_gw,0.34442058205604553,0.3020923137664795
r2_gw,0.42825189232826233,0.522027313709259
r2_gw,0.543420672416687,0.5656208395957947
r2_gw,0.6917673349380493,0.6546202898025513
r2_gw,0.4455452263355255,0.46560415625572205
r2_gw,0.21967795491218567,0.09337692707777023
r2_gw,0.925283670425415,0.6494832634925842
r2_gw,0.42981165647506714,0.505596399307251
r2_gw,0.8136379718780518,0.6279690861701965
r2_gw,0.705691933631897,0.6802106499671936
r2_gw,0.4455087184906006,0.5959123373031616
r2_gw,0.30130985379219055,0.0577828548848629
r2_gw,0.4062172770500183,0.05476006865501404
r2_gw,0.22370019555091858,0.45135772228240967
r2_gw,0.48784106969833374,0.4014618992805481
r2_gw,0.577840268611908,0.5519552826881409
