target_x,target_y,target_z,width_4_x,width_4_y,width_4_z,width_16_x,width_16_y,width_16_z,width_64_x,width_64_y,width_64_z
0.8340095141,-0.316931147,-0.4516445266,1,0.3129283293,0.1728985485,1,0.2905389237,0.1887336548,1,0.5034757681,0.1232221774
0.8204340592,0.5713603651,-0.02086355011,1,0.3624029727,0.1734072908,1,0.3388060865,0.1916106915,1,0.5165316322,0.1240579645
0.838889346,-0.3421226043,-0.4233400392,1,-0.2170757927,0.1819321616,1,-0.1832269535,0.1698562925,1,-0.3060324729,0.357707411
0.8611898461,-0.2264106681,-0.4550717068,1,-0.1503520157,-0.2836878622,1,-0.1481453142,-0.2696660614,1,-0.215698918,-0.4964657243
0.8849467468,-0.2084718155,0.4164237714,1,-0.1247202439,0.2104180265,1,-0.09416635303,0.1990492716,1,-0.2034702023,0.3932737976
0.8112724675,-0.3415119683,-0.4745593314,1,-0.2575487034,-0.0167690151,1,-0.2297385071,-0.02809344054,1,-0.366047901,0.1350526878
0.8858818039,-0.1766539698,0.4289601432,1,0.1635525374,0.7724951054,1,0.1808227136,0.7500594403,1,0.1009142824,0.6478201923
0.8063871084,0.5900765876,0.03936308185,1,0.1577103849,0.2995051474,1,0.1618003202,0.2956295051,1,0.3770437671,0.2276128699
0.887861169,0.4595647024,0.02242384664,1,-0.9929979528,0.1830117148,1,-1.091332751,0.1855119321,1,-0.8103149547,0.10917503
0.8314580253,-0.2585092676,0.4917829915,1,-0.05247756823,0.07303519269,1,-0.04005808694,0.06889532526,1,-0.08181566245,0.2515252432
0.8238747498,0.5667445124,0.005572650006,1,-0.6424486813,-0.2883669676,1,-0.6276906834,-0.269283305,1,-0.5899211964,-0.2104986995
0.8729758685,-0.2305057366,-0.4298607197,1,-0.01681301559,-0.2007184303,1,-0.03087771006,-0.1848811025,1,-0.168835345,-0.4626045419
0.8888068514,-0.1892584302,0.4173770807,1,0.246412355,-0.0420724639,1,0.2139926708,-0.0203263903,1,0.4785480788,0.07595276674
0.8541959066,-0.3521984236,0.3824991812,1,-0.4709525098,-0.1414222536,1,-0.4458317066,-0.1453120466,1,-0.4744640542,-0.1787548822
0.8166036446,-0.2866832178,-0.5009702788,1,0.2497807172,0.1603571028,1,0.2304515336,0.1732640387,1,0.4858546856,0.1201871087
