model,true_so3_distance,learned_distance
r3_gw,0.7183825969696045,0.5154033303260803
r3_gw,0.7113181948661804,0.5283726453781128
r3_gw,0.6531880497932434,0.6236251592636108
r3_gw,0.612071692943573,0.4042198956012726
r3_gw,0.9362071752548218,0.19855733215808868
r3_gw,0.6419182419776917,0.44357115030288696
r3_gw,0.7035407423973083,0.47031083703041077
r3_gw,0.6519089341163635,0.6522493958473206
r3_gw,0.688120424747467,0.5502743721008301
r3_gw,0.7017217874526978,0.47996118664741516
r3_gw,0.6338040828704834,0.15610364079475403
r3_gw,0.8203821182250977,0.4905362129211426
r3_gw,0.8133016228675842,0.6626842617988586
r3_gw,0.9663302898406982,0.7488704919815063
r3_gw,0.7492148876190186,0.4324015974998474
r3_gw,0.6506085395812988,0.53740394115448
r3_gw,0.16128835082054138,0.10310541838407516
r3_gw,0.4555211663246155,0.48940277099609375
r3_gw,0.6691350936889648,0.6581443548202515
r3_gw,0.3894396424293518,0.4631391167640686
r3_gw,0.7099840044975281,0.4708966910839081
r3_gw,0.695709764957428,0.11797080188989639
r3_gw,0.3818345367908478,0.3642342984676361
r3_gw,0.4465334415435791,0.5397304892539978
r3_gw,0.3418787717819214,0.38760486245155334
r3_gw,0.9745734930038452,0.6701116561889648
r3_gw,0.898557186126709,0.6114981174468994
r3_gw,0.5552583336830139,0.6311562061309814
r3_gw,0.8018577098846436,0.5335812568664551
r3_gw,0.7734451293945312,0.695698082447052
r3_gw,0.46870240569114685,0.05024959519505501
r3_gw,0.9289403557777405,0.7320716977119446
r3_gw,0.6863991022109985,0.6350646615028381
r3_gw,0.2582678198814392,0.17407619953155518
r3_gw,0.9095408320426941,0.08054328709840775
r3_gw,0.7294759750366211,0.5621398091316223
r3_gw,0.7743912935256958,0.5168565511703491
r3_gw,0.21732772886753082,0.03902369737625122
r3_gw,0.31868910789489746,0.44722115993499756
r3_gw,0.874245822429657,0.6534566879272461
r3_gw,0.9797984957695007,0.5487323999404907
r3_gw,0.7097390294075012,0.6363775134086609
r3_gw,0.4244304895401001,0.40408816933631897
r3_gw,0.6378589868545532,0.2058320790529251
r3_gw,0.6066257953643799,0.08369912207126617
r3_gw,0.752142608165741,0.42217153310775757
r3_gw,0.6492357850074768,0.7668477892875671
r3_gw,0.6721731424331665,0.5668482184410095
r3_gw,0.8083683252334595,0.285990446805954
r3_gw,0.4480403661727905,0.24067425727844238
r3_gw,0.26313209533691406,0.20160818099975586
r3_gw,0.4563952684402466,0.4678245186805725
r3_gw,0.7361728549003601,0.29595813155174255
r3_gw,0.6199303269386292,0.4794120788574219
r3_gw,0.9361732602119446,0.48412707448005676
r3_gw,0.6317863464355469,0.6278525590896606
r3_gw,0.9590492844581604,0.5360705852508545
r3_gw,0.9395520091056824,0.0839124321937561
r3_gw,0.593352198600769,0.46346861124038696
r3_gw,0.910572350025177,0.483092725276947
r3_gw,0.883924126625061,0.6622153520584106
r3_gw,0.8501224517822266,0.22608770430088043
r3_gw,0.8269689083099365,0.4929675757884979
