method,rank,head_parameters,decoder_parameters,vae_parameters,teacher_head_parameters,head_compression,teacher_output_rmse,worst_local_length_distortion,p95_local_length_distortion,pass_5_percent,teacher_triplet_agreement,reconstruction_mse,reconstruction_psnr,minimum_teacher_metric_eigenvalue,weighted_svd_next_singular_value,geometry_covariance_multiplier,geometry_trace_weight,seed,teacher_epochs,teacher_train_examples,covariance_sample_count,metric_sample_count,reconstruction_sample_count
raw,11,10112,14464,123460,50960,5.0395569620253164,0.0661927257273907,0.23819609994394186,0.1757971723673922,False,0.9385,0.0533731189330981,12.726774178474136,3.188252029393138,2.3704796702222968,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,12,10960,15312,124308,50960,4.649635036496351,0.06551768572752553,0.23817465834172658,0.17555786773208695,False,0.9416666666666667,0.053248195284361366,12.736951069751443,3.188252029393138,2.3439813848737545,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,13,11808,16160,125156,50960,4.315718157181572,0.06475455929096101,0.23624935142678227,0.1736222959876737,False,0.9405,0.05314500212372642,12.745375712563076,3.188252029393138,2.332271584802697,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,14,12656,17008,126004,50960,4.0265486725663715,0.06319097920395889,0.19973479683486695,0.15836916409397883,False,0.9496666666666667,0.0528873741396791,12.766479951847877,3.188252029393138,2.296304511085141,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,15,13504,17856,126852,50960,3.773696682464455,0.06232965575191201,0.19522063961103542,0.15024550813309182,False,0.9526666666666667,0.05274297373976176,12.778353875808747,3.188252029393138,2.2943469325136716,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,16,14352,18704,127700,50960,3.550724637681159,0.06216415406220491,0.19485585183412524,0.15011528707489386,False,0.9523333333333334,0.05271934298367619,12.78030010787756,3.188252029393138,2.2671010388495714,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,17,15200,19552,128548,50960,3.3526315789473684,0.0615843646475369,0.19460400333776928,0.15003232016108065,False,0.9511666666666667,0.0526477759483112,12.786199704191825,3.188252029393138,2.236665039876251,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,18,16048,20400,129396,50960,3.1754735792622135,0.060007481049087895,0.19162013218837415,0.14631887380531522,False,0.9518333333333333,0.05244997119289326,12.802547459979913,3.188252029393138,2.2133483043006863,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,19,16896,21248,130244,50960,3.016098484848485,0.0593126890026129,0.18928709974622349,0.1404886103737404,False,0.9565,0.052322209162904504,12.813139273939543,3.188252029393138,2.181341274707291,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,20,17744,22096,131092,50960,2.871956717763751,0.05871792108736358,0.18915133657980654,0.1381148728604801,False,0.9581666666666667,0.05222213895874042,12.821453439463642,3.188252029393138,2.1650745725586193,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,21,18592,22944,131940,50960,2.7409638554216866,0.05844437561046757,0.18422292028785814,0.13732347213662244,False,0.9591666666666666,0.052181401600135666,12.824842598653554,3.188252029393138,2.1321999689314173,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,22,19440,23792,132788,50960,2.6213991769547325,0.058106587690412326,0.1828563496706872,0.1353331816087514,False,0.9596666666666667,0.052120297327740595,12.829931154569827,3.188252029393138,2.1191769886244667,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,23,20288,24640,133636,50960,2.5118296529968456,0.0578322086657233,0.1822922304260347,0.13315128111815053,False,0.9615,0.05207181148275455,12.833973137535379,3.188252029393138,2.1053314867687116,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,24,21136,25488,134484,50960,2.4110522331566995,0.0575642141965655,0.18165230719468117,0.13212179238157887,False,0.9606666666666667,0.052039647749692046,12.836656517892129,3.188252029393138,2.089099798787115,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,25,21984,26336,135332,50960,2.3180494905385736,0.0568321593663418,0.18137950304597072,0.132018404983763,False,0.9593333333333334,0.05192536204281588,12.846204667206628,3.188252029393138,2.0722333164220217,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,26,22832,27184,136180,50960,2.2319551506657325,0.05664278811364025,0.18040874234330662,0.1315525872865457,False,0.9601666666666666,0.05189102815509934,12.849077242238911,3.188252029393138,2.066790173993952,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,27,23680,28032,137028,50960,2.152027027027027,0.05575765482997755,0.1801039405707331,0.13122824466402333,False,0.9593333333333334,0.05176560972961317,12.859586662148537,3.188252029393138,2.046814419715792,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,28,24528,28880,137876,50960,2.077625570776256,0.055130898513360393,0.17488215670949903,0.12532575696346568,False,0.9626666666666667,0.05169197801743517,12.86576849035227,3.188252029393138,2.014543806536431,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,29,25376,29728,138724,50960,2.0081967213114753,0.054909586946433615,0.174827643105678,0.12502580106775765,False,0.9625,0.05166025656506487,12.868434412808735,3.188252029393138,2.0054794733338794,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,30,26224,30576,139572,50960,1.9432580841976814,0.05474461487363649,0.17469057312620273,0.12488494158259753,False,0.9628333333333333,0.05164570162780032,12.869658181329129,3.188252029393138,1.9946438730218172,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,31,27072,31424,140420,50960,1.882387706855792,0.05396247284602585,0.16142243883444884,0.11808480362880029,False,0.9661666666666666,0.051535525709912634,12.87893289390955,3.188252029393138,1.9740106069819368,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,32,27920,32272,141268,50960,1.825214899713467,0.05365937609568451,0.16113099354158866,0.11751777045313179,False,0.9645,0.05149070794468357,12.882711370258251,3.188252029393138,1.955796835015479,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,33,28768,33120,142116,50960,1.771412680756396,0.05349045691680117,0.15731786012975169,0.11721842938695727,False,0.9656666666666667,0.05146988274014582,12.884468211682417,3.188252029393138,1.9479706223604214,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,34,29616,33968,142964,50960,1.7206915180983253,0.05227018504297524,0.13962685561708132,0.10640313547621581,False,0.9718333333333333,0.051316839512205205,12.897400986859566,3.188252029393138,1.921552326493752,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,35,30464,34816,143812,50960,1.6727941176470589,0.05138068304307756,0.13684498329934058,0.10315029372103122,False,0.9718333333333333,0.05119021024920051,12.908130867052714,3.188252029393138,1.9133244323899121,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,36,31312,35664,144660,50960,1.627491057741441,0.05131340719404532,0.1365423955695514,0.10299999802231899,False,0.9718333333333333,0.05118442803698971,12.908621453959991,3.188252029393138,1.8919679507838312,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,37,32160,36512,145508,50960,1.5845771144278606,0.0505912932988481,0.13248539984106733,0.09937790048489413,False,0.973,0.05108839047556367,12.916777794197543,3.188252029393138,1.8723268389172376,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,38,33008,37360,146356,50960,1.5438681531749878,0.05016430400152099,0.13110468210686044,0.0985865075359814,False,0.9741666666666666,0.05103757550588964,12.921099645655527,3.188252029393138,1.8579690614772897,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,39,33856,38208,147204,50960,1.5051984877126654,0.048939650534714337,0.11796000292784847,0.09035729836542782,False,0.978,0.05087387084742351,12.93505216885647,3.188252029393138,1.832439069759287,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,40,34704,39056,148052,50960,1.4684186260949745,0.04787887731951343,0.11729733899038375,0.08877884038809802,False,0.9785,0.05075471317679047,12.945236221511117,3.188252029393138,1.8201628189553876,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,41,35552,39904,148900,50960,1.4333933393339333,0.04764917820047404,0.11541817373786967,0.08832991294286548,False,0.9781666666666666,0.050725060956706695,12.94777422399191,3.188252029393138,1.8047477532673823,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,42,36400,40752,149748,50960,1.4,0.04719400070989471,0.11494710740050174,0.08817943115021065,False,0.9775,0.05067691181806217,12.951898582960693,3.188252029393138,1.8017024440462337,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,43,37248,41600,150596,50960,1.368127147766323,0.046995961775949315,0.11399413740025832,0.08683868079904591,False,0.9783333333333334,0.05065639670929973,12.953657056809496,3.188252029393138,1.7798181514238112,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,44,38096,42448,151444,50960,1.3376732465350694,0.04661618806758412,0.10813841488731069,0.08563635845968484,False,0.9786666666666667,0.05061777512699705,12.956969479036292,3.188252029393138,1.7756869847992032,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,45,38944,43296,152292,50960,1.308545603944125,0.04569781143957629,0.10719211368070725,0.08553614110994764,False,0.9783333333333334,0.05052464307321219,12.964967458360512,3.188252029393138,1.727353094175957,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,46,39792,44144,153140,50960,1.280659429030961,0.045288591943656496,0.10715063573987837,0.08165758691438955,False,0.9795,0.05047157335314696,12.969531567693961,3.188252029393138,1.7205636835077232,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,47,40640,44992,153988,50960,1.2539370078740157,0.043193899798916566,0.10053121717913194,0.07601729577870156,False,0.9811666666666666,0.05025000105840461,12.98863924760025,3.188252029393138,1.694566720487393,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,48,41488,45840,154836,50960,1.2283069803316622,0.04232887075080741,0.10018407209318192,0.07326136226053272,False,0.9808333333333333,0.05016451048581774,12.996034213194154,3.188252029393138,1.6705253957545316,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,49,42336,46688,155684,50960,1.2037037037037037,0.04203520880403902,0.0978547257157848,0.07296877601785345,False,0.9815,0.050133809225048086,12.998692959341566,3.188252029393138,1.6657802928705403,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,50,43184,47536,156532,50960,1.1800666913671731,0.04071909192554557,0.08920208411610919,0.06904565541357355,False,0.9831666666666666,0.049978518763053315,13.012166194093492,3.188252029393138,1.6536204323704413,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,51,44032,48384,157380,50960,1.1573401162790697,0.04033403370219719,0.085976064156156,0.06727752678156024,False,0.9841666666666666,0.04993530158483474,13.015923228531559,3.188252029393138,1.6480290068944292,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,52,44880,49232,158228,50960,1.1354723707664884,0.03972533187416217,0.08583992881042268,0.06522199882431771,False,0.9846666666666667,0.0498764301471921,13.021046382499769,3.188252029393138,1.601673381494706,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,53,45728,50080,159076,50960,1.1144156752974108,0.03889954822172326,0.08583478204250117,0.06500464445118659,False,0.9831666666666666,0.049791579869547235,13.028440934927456,3.188252029393138,1.584788420347565,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,54,46576,50928,159924,50960,1.0941257299896943,0.038299118654466544,0.08547388775525677,0.06493376542655561,False,0.9828333333333333,0.04974227240712844,13.032743784682996,3.188252029393138,1.5755339475821948,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,55,47424,51776,160772,50960,1.0745614035087718,0.03790742345657577,0.08543661238607525,0.06468067429742222,False,0.9828333333333333,0.04970563520898729,13.035943718012184,3.188252029393138,1.5535048897672044,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,56,48272,52624,161620,50960,1.0556844547563806,0.03711669452963338,0.08541691424531817,0.06244180209035266,False,0.9836666666666667,0.049614519828120984,13.043912074125403,3.188252029393138,1.5286525612261763,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
