teacher,teacher_frequency,teacher_derivative_amplitude,teacher_s,teacher_M1,method,repeat,seed,width,steps,evaluation_grid_size,output_rmse_tolerance,distance_distortion_tolerance,parameter_count,output_rmse,minimum_student_std,epsilon1_grid_max,q_theory,delta_cert,distance_distortion_bound,metric_distortion_max,metric_length_distortion_max,distance_distortion_max,distance_distortion_p95,triplet_accuracy,hard_triplet_accuracy,hard_triplet_fraction,certified_triplet_accuracy_lower_bound,triplet_accuracy_on_certified_subset,certified_all_distance_pass,empirical_all_distance_pass,certificate_scope
plain,0,0.0,1.0,1.0,c1,0,20270739,8,2500,48,0.02,0.05,184,0.002636756267182875,0.3097850052382179,0.034006970952994944,0.06917041597938774,0.06917041597938774,0.035204900499275826,0.044715709661740655,0.022613540947973187,0.03516612166100108,0.024016445972688805,0.9768880208333334,0.9603794642857143,0.5833333333333334,0.6051432291666666,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,0,20270747,16,2500,48,0.02,0.05,488,0.0015334162589479307,0.31116404778283235,0.018773057896848917,0.037898543496496274,0.037898543496496274,0.019132294086759205,0.032430076316741996,0.016085663867344335,0.031179009053025286,0.023757604862684422,0.9755859375,0.9581473214285714,0.5833333333333334,0.7932942708333334,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,0,20270763,32,2500,48,0.02,0.05,1480,0.0008666001951887839,0.31263925718395746,0.01220255073804879,0.024554003720612234,0.024554003720612234,0.012353303919165781,0.02023815433809162,0.010167356159159868,0.031078444384153636,0.024106948065405708,0.9768880208333334,0.9603794642857143,0.5833333333333334,0.8629557291666666,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,0,20270795,64,2500,48,0.02,0.05,5000,0.0005321568583836008,0.31320944148739255,0.007462079789503347,0.014979842213791608,0.014979842213791608,0.007518182642015092,0.011527274627034512,0.005747122604402133,0.027138858884343975,0.02425297518708257,0.9768880208333334,0.9603794642857143,0.5833333333333334,0.9241536458333334,0.9961253962662909,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,0,20270859,128,2500,48,0.02,0.05,18184,0.0002800663742792951,0.31340591664427336,0.004066759538341836,0.008150057609826367,0.008150057609826367,0.004083365742807987,0.006591015125064548,0.0033009557168546255,0.02544938780367545,0.024450579804397365,0.9775390625,0.9614955357142857,0.5833333333333334,0.9596354166666666,0.9898236092265943,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,0,20270987,256,2500,48,0.02,0.05,69128,0.00018045006461706346,0.31378902763802374,0.0028049929122734175,0.005617853809784739,0.005617853809784739,0.0028128830604482458,0.0036990987094910333,0.0018512629419856763,0.0252290951701597,0.024497908946443235,0.9772135416666666,0.9609375,0.5833333333333334,0.9759114583333334,0.9846564376250834,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,1,20270835,4,2500,48,0.02,0.05,80,0.014069898495907616,0.2999436976413789,0.11564909697033333,0.24467290757072024,0.24467290757072024,0.13090443998989398,0.1996086100224006,0.09721680586514925,0.07503385102168825,0.03238646823561802,0.9661458333333334,0.9419642857142857,0.5833333333333334,0.3160807291666667,1.0,0,0,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,1,20270839,8,2500,48,0.02,0.05,184,0.0029884752363727217,0.3071848267853293,0.03639943915360107,0.07412379747789884,0.07412379747789884,0.03777538873602848,0.039431919225102696,0.019854678217225086,0.03129267522343482,0.023612891757544222,0.9765625,0.9598214285714286,0.5833333333333334,0.5660807291666666,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,1,20270847,16,2500,48,0.02,0.05,488,0.001415299146303585,0.310325500561841,0.02126757090581411,0.04298745138386205,0.04298745138386205,0.02172981819124331,0.03131637119536612,0.01553747897129143,0.03040317640713419,0.024087370553988224,0.9765625,0.9598214285714286,0.5833333333333334,0.7672526041666666,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,1,20270863,32,2500,48,0.02,0.05,1480,0.0009414610498653339,0.3126470382598098,0.013667262093191282,0.02752131823950655,0.02752131823950655,0.013856662669927355,0.026264760367873174,0.013047264626815602,0.028915302029134615,0.024078076760982402,0.9765625,0.9598214285714286,0.5833333333333334,0.8515625,0.9996177370030581,1,1,fixed_evaluation_grid
