subdivision,vertices,faces,edges,latitude_warp_factor,longitude_twist_radians,local_query_hops,local_query_pairs,local_query_pair_fraction,local_queries_per_vertex,relative_edge_noise,seed,w2_chord_max_abs_error,query_chord_relative_rmse,triangle_edge_relative_rmse,euler_characteristic,integrated_curvature,total_area,learned_radius,radius_absolute_error,curvature_oracle_weighted_rmse,curvature_smooth_k1_weighted_rmse,nonpositive_angle_defect_fraction,graph_geodesic_relative_error,spherical_reconstruction_rmse,spherical_reconstruction_hausdorff,spherical_reconstruction_chamfer_rms,reconstruction_query_chord_relative_stress,reconstruction_edge_chord_relative_stress,ordinary_mds_rmse,ordinary_mds_hausdorff,topology_uniform_rmse,topology_uniform_hausdorff,mean_disk_rmse,mean_disk_hausdorff,invalid_triangle_fraction,clipped_chord_to_arc_fraction,graph_diameter_calibration_factor,clipped_spherical_pair_fraction
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.02,1.0,2.220446049250313e-16,0.018919332535623747,0.022453903514218224,2.0,12.566370614359172,9.361972799590054,0.8631350555233599,0.1368649444766401,0.11991480672499266,0.35896550755118034,0.0,0.1027767791864907,0.13849179694662841,0.14850635979301302,0.13849179694662841,0.13799552037914942,0.14025166938273062,0.39992360902489477,0.46038864410675745,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.2727272727272727,1.0,0.0
0.0,12.0,20.0,30.0,1.35,0.24,3.0,66.0,1.0,11.0,0.02,2.0,2.220446049250313e-16,0.021676583804172523,0.021621796614816873,2.0,12.566370614359169,9.451975202592354,0.8672740557270787,0.13272594427292128,0.07328591803222664,0.33935090046104716,0.0,0.10053833721618478,0.13503431707993352,0.139931323808528,0.13503431707993352,0.1371279857157954,0.13886358606597293,0.39983378289119686,0.4339570265702882,0.13885716444728155,0.1696537364152038,0.6520350255885192,0.9222059231799269,0.0,0.24242424242424243,1.0,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.0,0.0,4.440892098500626e-16,0.0,0.0,2.0,12.566370614359156,11.580535935999224,0.959973837629861,0.04002616237013901,0.0,0.11041538323534367,0.0,0.03915546258989904,0.04004900569238967,0.04009483225745033,0.04004900569238967,0.040013519899474916,0.03992415291466713,0.3203034904963104,0.3513931780980357,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9550878157624795,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.0,1.0,4.440892098500626e-16,0.0,0.0,2.0,12.566370614359156,11.580535935999224,0.959973837629861,0.04002616237013901,0.0,0.11041538323534367,0.0,0.03915546258989904,0.04004900569238967,0.04009483225745033,0.04004900569238967,0.040013519899474916,0.03992415291466713,0.3203034904963104,0.3513931780980357,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9550878157624795,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.0,2.0,4.440892098500626e-16,0.0,0.0,2.0,12.566370614359156,11.580535935999224,0.959973837629861,0.04002616237013901,0.0,0.11041538323534367,0.0,0.03915546258989904,0.04004900569238967,0.04009483225745033,0.04004900569238967,0.040013519899474916,0.03992415291466713,0.3203034904963104,0.3513931780980357,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9550878157624795,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.005,0.0,4.440892098500626e-16,0.005133119773985819,0.005502452671245494,2.0,12.566370614359165,11.584204898606952,0.9601258957560317,0.03987410424396831,0.09384233019495923,0.1422523269751352,0.0,0.03835816708258167,0.040024934434267814,0.04087016959149555,0.040024934434267814,0.04033408792593137,0.04042344717104475,0.3209849342103294,0.34943154247283154,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9572150219819929,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.005,1.0,4.440892098500626e-16,0.004743648590693356,0.004657627225878344,2.0,12.566370614359172,11.571836777869589,0.9596132095408378,0.04038679045916216,0.0773185616502778,0.13406197737990957,0.0,0.03871194470780777,0.040510578424296034,0.04142778330437771,0.040510578424296034,0.040315943567185035,0.04034422991425596,0.3203322938889811,0.35228198767421603,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9571382947410555,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.005,2.0,4.440892098500626e-16,0.005001512820515391,0.005279230457863037,2.0,12.566370614359176,11.578711758910302,0.9598982266539585,0.04010177334604148,0.07148665077844371,0.14059814028458503,0.0,0.036873870611751604,0.04023129930735522,0.04068637900188419,0.04023129930735523,0.0404945468747344,0.04018989579649908,0.32284590920947887,0.35354172737727185,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9588532882808455,0.0005807200929152149
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.01,0.0,4.440892098500626e-16,0.010102352125721515,0.009759723641506464,2.0,12.566370614359172,11.55687025187548,0.9589924471177185,0.04100755288228153,0.13565131092290697,0.15017931686147235,0.0,0.03710891267743036,0.04150543013131934,0.042933194014124626,0.04150543013131934,0.04251356781002722,0.04166323928556675,0.32207578711047286,0.3547833841952029,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9618136536373001,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.01,1.0,4.440892098500626e-16,0.009745631436163608,0.009258883405685647,2.0,12.566370614359167,11.564309499924775,0.9593010529436503,0.04069894705634969,0.13830336807835214,0.17426374102022438,0.0,0.03735793817927977,0.04108461102103561,0.04240670785641667,0.04108461102103561,0.04120408000355731,0.041140136040831374,0.32153117877280124,0.3531704869566044,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9619562255973428,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.01,2.0,4.440892098500626e-16,0.010167665844049146,0.009556902390416972,2.0,12.566370614359169,11.575840749567867,0.9597792130845294,0.0402207869154706,0.16910876815235035,0.20743207493178717,0.0,0.03941455799383581,0.04066919673029104,0.0419560341919052,0.04066919673029104,0.04110258651946782,0.04191390526259569,0.31869246446097377,0.3528146018045954,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9601025499189335,0.0
1.0,42.0,80.0,120.0,1.35,0.24,3.0,570.0,0.662020905923345,27.142857142857142,0.02,0.0,4.440892098500626e-16,0.019085783697623995,0.02343671757936705,2.0,12.566370614359165,11.509088596019518,0.9570079259178234,0.042992074082176646,0.31947676359503757,0.3490488527338479,0.0,0.0397966584784678,0.04460325643203737,0.051314763306993576,0.04460325643203737,0.04747453718779658,0.04628153981698689,0.31849932354202987,0.3541496069388352,0.1363195410472379,0.17904075762503183,0.6537564303613516,1.0,0.0,0.0,0.9681161807168124,0.0
