pair_index,left_pool_index,right_pool_index,left_label,right_label,straight_teacher_length,geodesic_candidate_teacher_length,straight_relative_excess,passing_student,fixed_teacher_path_student_length_error,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,minimum_teacher_metric_eigenvalue,maximum_teacher_metric_condition_number
37,272,212,4,3,5.646988978365528,5.609014017151754,0.006770345215335594,rank 12,0.001087364233904986,4.17329394375443e-08,0.03659462840073358,0.21707958144587416,8.576135174694015,1.9282228976524312
38,1695,2839,8,9,4.962129749483199,4.958574970316358,0.0007168953153116053,rank 12,0.0013775406600684548,1.3213397975775365e-07,0.0361215967589203,0.3123472051684458,6.565639175301131,2.0782997998468984
39,754,1828,6,3,7.390036036553585,7.334370559439613,0.0075896733963529694,rank 12,0.000981439384810101,2.2203772775952757e-07,0.054839635591011966,0.3054042674325084,7.735622568730447,1.5997008946401114
40,169,1840,0,5,6.176962057182044,6.134037732862613,0.006997727465787751,rank 12,0.0008067349098782595,2.3192286757733882e-08,0.04536750761821556,0.3171580204845615,7.343287492193668,2.027639374208891
41,663,772,9,8,5.488986891852492,5.4820169289768685,0.0012714230849564245,rank 12,0.001457043879320552,3.9491354630882824e-08,0.04036558175136604,0.30110868512536815,6.349691238086414,2.241420436639674
42,1472,1015,2,0,5.092356593920488,5.039330847826114,0.010522378406102817,rank 12,0.000671567820207164,2.5456348873298396e-07,0.03147530996857537,0.2562598771547878,11.11887751739939,1.4134506098741113
43,2456,2572,7,6,5.8642934301715,5.8422861561655335,0.003766894229024098,rank 12,0.0007466539585186949,5.884161713431979e-08,0.033012548576596065,0.2304046308197733,9.934606999505661,1.920018060995118
44,2785,2794,8,9,5.48163913341998,5.478597240028049,0.0005552321622963596,rank 12,0.001281972807022802,1.0802409788901457e-07,0.0378342261703639,0.33119082486065415,7.459532749107064,1.7553010723298212
45,1819,706,3,1,6.497843029117334,6.474639855423638,0.0035837010570185512,rank 12,0.0013437607809088092,2.754227241830165e-07,0.04799530019779012,0.10399019785003628,3.984503326777004,4.1782152077655645
46,403,930,0,9,8.306094520041853,8.147267926177598,0.019494460634335686,rank 12,0.0005456593776166363,2.6312604095579673e-08,0.052614073781914045,0.24762454143751908,9.288282410514764,1.392255799819294
47,1278,2762,7,8,5.834435179403092,5.827861395336569,0.001127992520855603,rank 12,0.0010725574264510707,7.167203319724536e-08,0.04161015498906973,0.22015853882539885,8.177756383086315,1.7372788323648152
48,95,2574,3,4,4.935054568888418,4.922738328910622,0.002501908319088253,rank 12,0.0013066927806478779,1.4783074642199523e-07,0.030312900565953975,0.31110399043251846,8.173067620011368,1.7223564851491378
49,1129,1110,9,5,4.68112010182268,4.672514751768455,0.001841695641724428,rank 12,0.0009590847599497687,5.6470545017894835e-08,0.030536539167098534,0.270122141038632,9.31892298511586,1.9461679767587583
50,494,448,3,2,4.756466628066312,4.7505424554319164,0.0012470518240756956,rank 12,0.0010442199703392108,1.2365239865363975e-07,0.0322493027935184,0.2006598416269814,5.051813564978212,3.289104720132322
51,515,1107,4,8,5.389688193742376,5.383356643471884,0.0011761342764036176,rank 12,0.0012693551591314023,2.1304900732488363e-08,0.036853078308616394,0.32173972203054607,7.7285458470826125,1.7525870579824896
52,67,1155,3,9,7.614126998490002,7.5978955847492,0.002136303869900935,rank 12,0.0011804442462739484,1.6931429502875517e-07,0.050142383689597836,0.2858913262059943,6.819568473843859,2.116215582332384
53,722,2922,6,1,4.1138647419966174,4.086180377464961,0.006775120521926414,rank 12,0.0036096778698858634,1.755054013230506e-08,0.035060381490680886,0.11971054878300932,3.45863457636251,2.8260390890976024
54,2565,1230,6,4,5.536716383761201,5.514436856073425,0.004040218116422523,rank 12,0.0006432302578071036,6.065378599373616e-08,0.029143873800436815,0.3137179867655062,9.854660230054174,1.9465829280905682
55,708,1897,2,9,5.203218883409656,5.172926781281902,0.005855892304017507,rank 12,0.0017458248243837904,1.3292534095654673e-07,0.04306338689489281,0.17375553766765583,5.241984290564829,2.481941311757139
56,2462,1482,5,3,4.433315878331196,4.430598200787676,0.0006133884004728696,rank 12,0.001512357739823611,2.4355076955195898e-08,0.03290718487885389,0.2861082531759274,6.695217536378989,2.395709807879567
57,991,421,0,9,6.178555569402015,6.122115483544524,0.009219049527764422,rank 12,0.0008430760764589484,1.0876883083099642e-07,0.0385691122075961,0.24208050991455288,9.788834965693379,1.7348657930342277
58,1277,2996,6,3,5.798857870328277,5.752711857434682,0.008021610335646523,rank 12,0.0009084910456452766,1.8463275952562697e-07,0.03167245538323976,0.24516868504832662,8.775739053284106,2.163167565424325
59,1087,1685,2,7,5.784857671575054,5.6627834994138135,0.021557273410483857,rank 12,0.0005464990916669299,1.9548616170261823e-07,0.04092683985895749,0.30594299682159076,8.219539115545597,1.4134210519494768
60,473,2243,2,6,5.58959572081127,5.387907242966335,0.0374335467835365,rank 12,0.001861729755748831,3.529476335639714e-07,0.054460982257214574,0.22649518055289897,4.13713832685242,4.518088347133546
61,288,1272,9,2,5.014003888803538,4.995591763889218,0.0036856744475024517,rank 12,0.0015644641027598993,9.987999538552117e-09,0.03778849648684262,0.3042358445659956,6.08556775372131,2.2441558915993154
62,2672,264,8,6,6.5189055863643635,6.4866776291507,0.004968330331205806,rank 12,0.0010500148654565278,2.9455668237865495e-08,0.04647032617934999,0.31544634384918796,8.213792935711306,1.4173150606639697
63,726,1945,7,8,4.039478000185902,4.0336561998813005,0.0014433060271157316,rank 12,0.001231317075519378,4.864536884419124e-09,0.029451251184103404,0.2699950775298306,6.088699053988953,2.629342261305716
64,2468,412,6,9,5.587094532838764,5.494271841305714,0.016894448293441222,rank 12,0.0005741947722833762,1.1746673056478585e-07,0.03759066406170825,0.3697932362961432,8.889171092027627,1.3584037705881962
65,56,858,7,8,4.229237495474207,4.227051468390792,0.0005171517545412563,rank 12,0.0017055706055261188,4.285178079044272e-08,0.033863351466875205,0.2286046584966298,5.8549728620779495,3.105838969998386
66,1996,2770,5,8,3.9094320758710004,3.8927768938472163,0.004278483580733461,rank 12,0.0008813525399036237,1.2017793427077095e-08,0.02648054024740211,0.3572967836343265,8.99713481728075,1.9197706875842167
67,422,1200,7,4,4.435409469834807,4.390168882640259,0.0103049765063572,rank 12,0.0017468157562657849,1.9651594729275246e-07,0.037210419238632476,0.21000677193037418,6.003479899054047,2.393349529846165
68,1787,1098,1,4,6.093529270969359,6.078148761345782,0.0025304595572570587,rank 12,0.0026588537544800506,1.0817917717176329e-07,0.05644388564051946,0.14785611453418432,3.6068443481491648,3.095199620396777
69,931,2480,6,5,4.782111247940683,4.723743836934627,0.012356176164694865,rank 12,0.0006561127017383761,1.1621436102338123e-07,0.0349802705193683,0.33907401835985823,7.75634458053585,1.9575100551349323
70,1307,1202,5,1,5.052538520348701,5.051241173029187,0.0002568373346418795,rank 12,0.001564945084682634,5.6489968036643745e-08,0.04222956711403885,0.07078340297218114,5.822757149581866,1.6754175062247822
71,1391,1157,7,6,5.358806829329402,5.33326655190479,0.004788861980935533,rank 12,0.0013326548467790245,1.618944156511759e-07,0.0411166292494269,0.23718242594203928,6.380148643044814,2.0505708007732766
72,2921,236,9,6,5.076225789919208,4.988674567773805,0.01754999668869406,rank 12,0.0005818373806892874,6.787828077392533e-08,0.03295488690881461,0.3199989083690565,8.73345762336944,1.713788003340296
73,193,1287,5,9,4.333066412184568,4.327641612048435,0.001253523425098324,rank 12,0.0008467129914663252,1.1898185814374074e-07,0.03093566025798714,0.32403677992640234,8.41500618519725,1.545347456170536
74,2632,39,6,5,5.3800192657967685,5.379260303596788,0.00014109043941834543,rank 12,0.001580769071473087,4.4258014253450995e-08,0.036260271688927974,0.1853829941864167,5.461263804755563,2.2126102287566995
75,1762,6,6,4,5.684575139637493,5.672396353839844,0.002147026589459866,rank 12,0.0009688915823037325,1.8542668067667023e-08,0.03230190337360731,0.23998938448726662,10.434754990778956,1.5133510939655674
76,1562,2719,5,6,4.572816578199323,4.536818508975593,0.007934650494065831,rank 12,0.001023452291348259,1.1806730793040288e-07,0.033868425943073696,0.2488093793510918,7.584068457486406,1.5496620657127167
77,2418,24,0,8,7.07291305675094,7.035702419810168,0.005288830413861634,rank 12,0.0010016110548668467,1.5700597932877258e-07,0.050771116614527705,0.262901708000536,7.754010497231018,1.9459944937768394
78,2554,1432,6,8,7.371308897565267,7.239237258011904,0.018243861175732956,rank 12,0.0005845391180157034,8.842458598667946e-08,0.04645281743596299,0.2800685683855243,10.446721074578427,1.7438586805538632
79,631,790,1,9,7.020647548136722,6.925343326501179,0.013761660201140113,rank 12,0.0014691501047380262,1.9204041246112524e-07,0.06032394777327348,0.05513332598301995,5.345444483621005,2.728670331139648
80,2263,2792,3,4,5.9587361812241015,5.948629066466799,0.0016990662292726277,rank 12,0.0012445663617487446,6.22049656229251e-08,0.0374040233262394,0.3124128997010579,7.629065215676996,1.8223440536241384
81,2250,1318,4,6,4.30386794662287,4.276798016884788,0.00632948519691845,rank 12,0.000780925299566082,5.596302754540261e-09,0.03066012871914551,0.3518669719022653,8.313247808517321,1.7374198835301826
82,540,2440,5,2,6.592109773131047,5.943962424256276,0.10904297547874697,rank 12,0.00247500696546199,1.0679567610250018e-06,0.052363946920127274,0.19023140423745546,3.370709369829307,6.301709686099979
83,148,2752,3,0,4.843770897874569,4.808509620818275,0.0073330989925923795,rank 12,0.0011369217077495941,1.7726285150843069e-07,0.03425246669084182,0.29451132709461464,8.079535593342008,2.2189150443067636
84,202,2916,9,8,7.5735138758829414,7.486372923234418,0.011639942805691028,rank 12,0.0010177384485103858,2.2560393864168304e-07,0.05363240073475429,0.23789853306514017,7.6066290509750525,1.8568889568178701
