pair_index,left_pool_index,right_pool_index,left_label,right_label,straight_teacher_length,geodesic_candidate_teacher_length,straight_relative_excess,passing_student,fixed_teacher_path_student_length_error,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,minimum_teacher_metric_eigenvalue,maximum_teacher_metric_condition_number
39,1360,2791,1,6,10.33651639256555,10.021104591849522,0.03147475388816545,rank 13,0.0010857859784744184,1.8697218284735584e-07,0.06423279306745296,0.12792420720658654,8.227680799517136,3.4099859565409134
40,1711,2865,5,9,11.120672190541455,10.962447861469778,0.014433302768790846,rank 13,0.0010863540040620956,2.792685034336273e-07,0.06274836215802919,0.1763182007846598,11.12681362549968,3.899709185349346
41,722,1853,0,7,15.010516066775143,14.84739473894107,0.010986528660563266,rank 13,0.0007294131528798875,4.7291043059338733e-07,0.0695373143543207,0.24233726274481424,11.529836467689238,4.948056174912483
42,165,1865,1,6,8.658289011541235,8.478768257024779,0.02117297572884147,rank 13,0.0011018066241134106,1.5266809150205063e-08,0.04898839067325432,0.15098832675925491,9.38768918604977,3.2244028923030315
43,640,745,2,9,9.763908759141415,9.644660192705462,0.012364206105067721,rank 13,0.001338381524708554,1.4134163608403583e-06,0.041106612486550786,0.24503945249442188,21.46513941608768,3.3696316795367593
44,2470,2577,0,1,7.326447255627945,7.310790074923325,0.0021416537124114843,rank 13,0.0010697885900766702,8.606033730096385e-08,0.04071922642579615,0.1188989798174842,10.791074591114107,2.632161328511181
45,1843,672,5,1,10.307622642090788,10.24293970616535,0.006314880081399243,rank 13,0.0007077715140643148,1.7205690339139323e-07,0.04014179469731042,0.15518273699657775,9.915261146094686,6.026557669128427
46,2885,832,3,7,7.211432512894664,7.167345228389452,0.006151131709211333,rank 13,0.0012753877879996267,4.5885671617895696e-07,0.034814552220146254,0.12065106803437337,8.27048633235522,4.360461538779822
47,1110,1089,5,3,13.519831277849564,13.428928786255943,0.006769154341383921,rank 13,0.0015768572407092174,8.912546907158259e-07,0.11663859573423217,0.11822657615141699,4.493706343531625,6.729577182956132
48,553,667,9,5,10.641389436711677,10.527563467824825,0.010812185481924308,rank 13,0.0007382173811348869,1.832349479924389e-07,0.04938030336625159,0.15813206107373837,11.290940860981262,2.7624070154196128
49,410,1643,7,3,10.99652141827319,10.922232660751973,0.006801609142438991,rank 13,0.000726979688173035,3.894161377804295e-07,0.03902298936466962,0.227431806430527,18.56334795016825,3.1304221078674486
50,223,930,4,7,8.21290427014614,8.139047831655038,0.009074334003033258,rank 13,0.0009928610085635503,2.356468757902519e-07,0.03861977845803813,0.18879352293989554,14.100489680128963,2.932039355394799
51,501,1088,0,2,10.633309512990152,10.533628109818103,0.009463159524223164,rank 13,0.0012054649278241403,1.0556913165871151e-06,0.06756990084826069,0.13365307561829012,7.641356163957147,3.99400586492965
52,956,422,6,2,7.382460998497519,7.369156160750077,0.001805476428672792,rank 13,0.0009702207837369858,9.793244937217338e-08,0.03746430325177618,0.2750194623942277,15.91684284066983,3.139346426162744
