method,rank,head_parameters,decoder_parameters,vae_parameters,teacher_head_parameters,head_compression,teacher_output_rmse,worst_local_length_distortion,p95_local_length_distortion,pass_5_percent,teacher_triplet_agreement,reconstruction_mse,reconstruction_psnr,minimum_teacher_metric_eigenvalue,weighted_svd_next_singular_value,geometry_covariance_multiplier,geometry_trace_weight,seed,teacher_epochs,teacher_train_examples,covariance_sample_count,metric_sample_count,reconstruction_sample_count
raw,26,22832,27184,136180,50960,2.2319551506657325,0.08301275072839094,0.18836292204718863,0.10910920221578504,False,0.9638333333333333,0.04038878215652924,13.937392419197145,2.868070361143945,2.116542200687401,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,27,23680,28032,137028,50960,2.152027027027027,0.08226940657673337,0.18789768691847752,0.10769008922701138,False,0.9643333333333334,0.040250791661298455,13.952255734140673,2.868070361143945,2.098621153246556,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,28,24528,28880,137876,50960,2.077625570776256,0.08185219615066798,0.18551032743764984,0.10577021965032067,False,0.9653333333333334,0.04018442388322863,13.959422536924194,2.868070361143945,2.073657602166585,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,29,25376,29728,138724,50960,2.0081967213114753,0.08160633658766617,0.18384195485303312,0.10528667465918966,False,0.9658333333333333,0.04014514718821621,13.96366945447724,2.868070361143945,2.050737725411538,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,30,26224,30576,139572,50960,1.9432580841976814,0.08142398521364426,0.18243615185857376,0.1039002403414941,False,0.9656666666666667,0.0401112995797215,13.967332669348666,2.868070361143945,2.0445406101890873,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,31,27072,31424,140420,50960,1.882387706855792,0.08114736350312153,0.18007040936967889,0.10308293961860143,False,0.9675,0.040057128664948094,13.973201845896455,2.868070361143945,2.038132809090324,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,32,27920,32272,141268,50960,1.825214899713467,0.0805014836038518,0.1747329367717273,0.10169566825936721,False,0.9683333333333334,0.03995059469791898,13.984767514663279,2.868070361143945,2.0157958157520843,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,33,28768,33120,142116,50960,1.771412680756396,0.08029997263987594,0.17419040352954052,0.10140446815433596,False,0.9693333333333334,0.03991345607007696,13.988806654212242,2.868070361143945,2.010570373654241,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,34,29616,33968,142964,50960,1.7206915180983253,0.08009458970261804,0.17262977937718638,0.10122973091089506,False,0.9695,0.039875378367761755,13.99295183000557,2.868070361143945,1.9721234307506714,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,35,30464,34816,143812,50960,1.6727941176470589,0.07851713372648765,0.16636118359774887,0.09485666117418656,False,0.9731666666666666,0.03962813515324791,14.019963644992687,2.868070361143945,1.9557643264050792,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,36,31312,35664,144660,50960,1.627491057741441,0.07833646380834003,0.16635686125264615,0.09425221243901866,False,0.974,0.039598775246160144,14.023182461972127,2.868070361143945,1.9498368738637402,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,37,32160,36512,145508,50960,1.5845771144278606,0.07821054217976958,0.1648068336803239,0.09396020258992131,False,0.9741666666666666,0.039576355525412166,14.02564201238196,2.868070361143945,1.9302411017879622,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,38,33008,37360,146356,50960,1.5438681531749878,0.07679090902300881,0.15431117737319178,0.08572159673966172,False,0.9765,0.039373222298858306,14.047990411572632,2.868070361143945,1.9040905651405375,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,39,33856,38208,147204,50960,1.5051984877126654,0.07659773742996143,0.15411673800701742,0.08492150577101198,False,0.9765,0.03933956351793888,14.051704629932507,2.868070361143945,1.8934390997235004,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,40,34704,39056,148052,50960,1.4684186260949745,0.07631596216275716,0.15195330174402,0.08383256714362025,False,0.977,0.039291244029039836,14.05704220452785,2.868070361143945,1.8777923477107992,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,41,35552,39904,148900,50960,1.4333933393339333,0.07422913669047533,0.14863682822299318,0.08017462310175381,False,0.9798333333333333,0.038973487989489186,14.092307246460884,2.868070361143945,1.849296136437588,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,42,36400,40752,149748,50960,1.4,0.07329377241828082,0.14294596760340883,0.07668707491830094,False,0.9805,0.03882598242571319,14.108775463742116,2.868070361143945,1.8311884556607732,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,43,37248,41600,150596,50960,1.368127147766323,0.07128738567042354,0.13011673537232138,0.07084908705485601,False,0.9828333333333333,0.038528206122888986,14.142212113105666,2.868070361143945,1.8284027244949752,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,44,38096,42448,151444,50960,1.3376732465350694,0.07092790938490746,0.12303186677327638,0.06790106909297242,False,0.9838333333333333,0.038475138247778,14.148198109990373,2.868070361143945,1.8017779253734107,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,45,38944,43296,152292,50960,1.308545603944125,0.07055540483883024,0.12302785109390135,0.06734593329721367,False,0.9845,0.03842144477821083,14.15426308203969,2.868070361143945,1.791197764723259,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,46,39792,44144,153140,50960,1.280659429030961,0.06921005567574175,0.1230270155262202,0.06669720909215784,False,0.985,0.03823467794420027,14.175425635800794,2.868070361143945,1.7696394031457483,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
