shape,relative_edge_noise,seed,stage,alpha,edge_stress,convexity_penalty,local_convex_max_signed
sphere,0.01,0.0,31.0,0.775,2.068583665067943e-10,0.0,-0.06407877186591755
sphere,0.01,0.0,32.0,0.8,1.945419317476609e-09,0.0,-0.06391287044089031
sphere,0.01,0.0,33.0,0.8250000000000001,5.969445611598367e-09,0.0,-0.06371408977240182
sphere,0.01,0.0,34.0,0.8500000000000001,5.600728974764692e-11,0.0,-0.06340199814014444
sphere,0.01,0.0,35.0,0.875,1.6142789439764867e-09,0.0,-0.06321968717154752
sphere,0.01,0.0,36.0,0.9,4.337154582089927e-09,0.0,-0.06301432691980852
sphere,0.01,0.0,37.0,0.925,7.268683862580289e-11,0.0,-0.06272252109387784
sphere,0.01,0.0,38.0,0.9500000000000001,1.6807906966511599e-09,0.0,-0.06255069073716867
sphere,0.01,0.0,39.0,0.9750000000000001,5.49049487888791e-09,0.0,-0.06236861991935773
sphere,0.01,0.0,40.0,1.0,1.863159600933936e-10,0.0,-0.062050501372035764
sphere,0.01,1.0,0.0,0.0,8.19119816518628e-34,0.0,-0.06810660597378904
sphere,0.01,1.0,1.0,0.025,1.1620960188001007e-09,0.0,-0.06767126591467665
sphere,0.01,1.0,2.0,0.05,4.175583132422474e-09,0.0,-0.0672334610508547
sphere,0.01,1.0,3.0,0.07500000000000001,6.152497083534231e-11,0.0,-0.06683167660875887
sphere,0.01,1.0,4.0,0.1,1.3107526624200833e-09,0.0,-0.06642590915973275
sphere,0.01,1.0,5.0,0.125,4.331604357967995e-09,0.0,-0.06600378639072682
sphere,0.01,1.0,6.0,0.15000000000000002,7.661568736185667e-09,0.0,-0.06557499998175259
sphere,0.01,1.0,7.0,0.17500000000000002,1.1701593958640955e-10,0.0,-0.06518741986528574
sphere,0.01,1.0,8.0,0.2,1.3144257996064813e-09,0.0,-0.06479185054045998
sphere,0.01,1.0,9.0,0.225,4.36232163031332e-09,0.0,-0.06437414692675314
sphere,0.01,1.0,10.0,0.25,2.2250684517439286e-11,0.0,-0.06400741572928002
sphere,0.01,1.0,11.0,0.275,1.2414948238555908e-09,0.0,-0.06360091485085216
sphere,0.01,1.0,12.0,0.30000000000000004,4.22933683548947e-09,0.0,-0.06318375255706939
sphere,0.01,1.0,13.0,0.325,1.4659360562960254e-10,0.0,-0.06280704780887755
sphere,0.01,1.0,14.0,0.35000000000000003,1.299274925600876e-09,0.0,-0.06242165727064801
sphere,0.01,1.0,15.0,0.375,3.808495684677493e-09,0.0,-0.06200344057563721
sphere,0.01,1.0,16.0,0.4,1.9765515660403534e-10,0.0,-0.06163509939486447
sphere,0.01,1.0,17.0,0.42500000000000004,1.315874824924571e-09,0.0,-0.061258644712851876
sphere,0.01,1.0,18.0,0.45,4.337369619320416e-09,0.0,-0.06085399514154968
sphere,0.01,1.0,19.0,0.47500000000000003,8.385559867375562e-09,0.0,-0.06045395593796264
sphere,0.01,1.0,20.0,0.5,8.422570988098986e-11,0.0,-0.060115638990525265
sphere,0.01,1.0,21.0,0.525,1.2604852772266743e-09,0.0,-0.05974043576626793
sphere,0.01,1.0,22.0,0.55,4.003870132993321e-09,0.0,-0.059347637856157154
sphere,0.01,1.0,23.0,0.5750000000000001,1.690947940043057e-10,0.0,-0.05898112476549383
sphere,0.01,1.0,24.0,0.6000000000000001,1.3273284050461675e-09,0.0,-0.058615904335018953
sphere,0.01,1.0,25.0,0.625,3.5736537826958803e-09,0.0,-0.058216292953557625
sphere,0.01,1.0,26.0,0.65,1.9540465770404192e-10,0.0,-0.05786229014106352
sphere,0.01,1.0,27.0,0.675,1.344963496347218e-09,0.0,-0.05750674963354761
sphere,0.01,1.0,28.0,0.7000000000000001,4.138247528641352e-09,0.0,-0.05711258925084755
sphere,0.01,1.0,29.0,0.7250000000000001,7.494404947964843e-09,0.0,-0.05674113793691954
sphere,0.01,1.0,30.0,0.75,1.0957939722610044e-08,0.0,-0.05633048832424418
sphere,0.01,1.0,31.0,0.775,2.5598318817325204e-11,0.0,-0.056053595292615103
sphere,0.01,1.0,32.0,0.8,1.1198960728878373e-09,0.0,-0.055685169957786065
sphere,0.01,1.0,33.0,0.8250000000000001,3.764036881608636e-09,0.0,-0.055309860025212716
sphere,0.01,1.0,34.0,0.8500000000000001,7.351456141830221e-09,0.0,-0.05491712586163693
sphere,0.01,1.0,35.0,0.875,1.0531934165715149e-08,0.0,-0.054543349490345484
sphere,0.01,1.0,36.0,0.9,2.0574442718104013e-11,0.0,-0.05426331282576773
sphere,0.01,1.0,37.0,0.925,1.1859488329840797e-09,0.0,-0.053898629276592946
sphere,0.01,1.0,38.0,0.9500000000000001,3.864565190521501e-09,0.0,-0.05352249403987694
sphere,0.01,1.0,39.0,0.9750000000000001,4.506133637237615e-11,0.0,-0.05319849355420107
sphere,0.01,1.0,40.0,1.0,1.1694490853675454e-09,0.0,-0.05284443468452161
sphere,0.01,2.0,0.0,0.0,2.296274900879136e-33,0.0,-0.06716238308882165
sphere,0.01,2.0,1.0,0.025,1.6161211245844217e-09,0.0,-0.06713556765433314
sphere,0.01,2.0,2.0,0.05,1.290992669253986e-10,0.0,-0.06712600234300885
sphere,0.01,2.0,3.0,0.07500000000000001,1.891453960418665e-09,0.0,-0.06712799435250208
sphere,0.01,2.0,4.0,0.1,6.13009984822901e-09,0.0,-0.06709885097979182
sphere,0.01,2.0,5.0,0.125,1.7678531997629672e-11,0.0,-0.06709150434351215
sphere,0.01,2.0,6.0,0.15000000000000002,1.6558264438594336e-09,0.0,-0.06697430055101448
sphere,0.01,2.0,7.0,0.17500000000000002,1.421512995601458e-10,0.0,-0.0668586194891553
sphere,0.01,2.0,8.0,0.2,1.8680274727004377e-09,0.0,-0.06675423769872799
sphere,0.01,2.0,9.0,0.225,3.555055832559234e-11,0.0,-0.06666036659732093
sphere,0.01,2.0,10.0,0.25,1.8689218380166675e-09,0.0,-0.06655139889900241
sphere,0.01,2.0,11.0,0.275,5.481539774391345e-09,0.0,-0.06642630491059347
sphere,0.01,2.0,12.0,0.30000000000000004,6.31229973251581e-11,0.0,-0.06635129590096855
sphere,0.01,2.0,13.0,0.325,1.999939040554853e-09,0.0,-0.06625095438470496
sphere,0.01,2.0,14.0,0.35000000000000003,1.2922944573412115e-10,0.0,-0.06614927931341107
sphere,0.01,2.0,15.0,0.375,2.0569570556244024e-09,0.0,-0.06605182253047572
sphere,0.01,2.0,16.0,0.4,1.6391056276679307e-11,0.0,-0.06597549349001641
sphere,0.01,2.0,17.0,0.42500000000000004,1.8628514578291355e-09,0.0,-0.06586637949332563
sphere,0.01,2.0,18.0,0.45,5.6886542665544635e-09,0.0,-0.06575221031624895
sphere,0.01,2.0,19.0,0.47500000000000003,1.1357526707035281e-10,0.0,-0.06568309708217078
sphere,0.01,2.0,20.0,0.5,2.0674204166858067e-09,0.0,-0.0655963515690232
sphere,0.01,2.0,21.0,0.525,1.0820337554848374e-10,0.0,-0.06551152386225875
sphere,0.01,2.0,22.0,0.55,1.938920194359429e-09,0.0,-0.06542197954925207
sphere,0.01,2.0,23.0,0.5750000000000001,7.365345457058058e-11,0.0,-0.06533545141638401
sphere,0.01,2.0,24.0,0.6000000000000001,1.9305429477413126e-09,0.0,-0.06525144408874108
sphere,0.01,2.0,25.0,0.625,1.0957337793248732e-10,0.0,-0.06516386197681756
sphere,0.01,2.0,26.0,0.65,1.9737257636276453e-09,0.0,-0.06508551025635331
sphere,0.01,2.0,27.0,0.675,1.0562731640294686e-10,0.0,-0.0650049374408547
sphere,0.01,2.0,28.0,0.7000000000000001,2.0994284021180873e-09,0.0,-0.06492506669186342
sphere,0.01,2.0,29.0,0.7250000000000001,6.578725925133654e-09,0.0,-0.0648248261952805
sphere,0.01,2.0,30.0,0.75,4.1470853210635954e-11,0.0,-0.06477557774868259
sphere,0.01,2.0,31.0,0.775,2.0369864385521306e-09,0.0,-0.06468940865025721
sphere,0.01,2.0,32.0,0.8,6.527595580211312e-09,0.0,-0.06451339533770918
sphere,0.01,2.0,33.0,0.8250000000000001,2.9924575969088464e-11,0.0,-0.06433106912176655
sphere,0.01,2.0,34.0,0.8500000000000001,1.9619566880796746e-09,0.0,-0.06416343731185449
sphere,0.01,2.0,35.0,0.875,6.2180200227589824e-09,0.0,-0.06399624816093322
sphere,0.01,2.0,36.0,0.9,7.478708480527846e-11,0.0,-0.06380440709243057
sphere,0.01,2.0,37.0,0.925,2.0768698327318156e-09,0.0,-0.06363801365290087
sphere,0.01,2.0,38.0,0.9500000000000001,6.64343980463247e-09,0.0,-0.06346766409039656
sphere,0.01,2.0,39.0,0.9750000000000001,5.860535019780728e-11,0.0,-0.06327974084411228
sphere,0.01,2.0,40.0,1.0,2.1143937481027055e-09,0.0,-0.0631144446696902
ellipsoid,0.0,0.0,0.0,0.0,2.144985966390402e-33,0.0,-0.10478896914282364
ellipsoid,0.0,0.0,1.0,0.025,8.003671967251867e-10,0.0,-0.10389174635488083
ellipsoid,0.0,0.0,2.0,0.05,1.1111460162017017e-09,0.0,-0.10298592317481237
