teacher,method,width,repeats,parameter_count_mean,parameter_count_std,output_rmse_mean,output_rmse_std,epsilon1_grid_max_mean,epsilon1_grid_max_std,delta_cert_mean,delta_cert_std,distance_distortion_bound_mean,distance_distortion_bound_std,metric_distortion_max_mean,metric_distortion_max_std,metric_length_distortion_max_mean,metric_length_distortion_max_std,distance_distortion_max_mean,distance_distortion_max_std,distance_distortion_p95_mean,distance_distortion_p95_std,triplet_accuracy_mean,triplet_accuracy_std,hard_triplet_accuracy_mean,hard_triplet_accuracy_std,hard_triplet_fraction_mean,hard_triplet_fraction_std,certified_triplet_accuracy_lower_bound_mean,certified_triplet_accuracy_lower_bound_std,triplet_accuracy_on_certified_subset_mean,triplet_accuracy_on_certified_subset_std,certified_all_distance_pass_mean,certified_all_distance_pass_std,empirical_all_distance_pass_mean,empirical_all_distance_pass_std
plain,value,32,3,1480.0,0.0,0.002170213355346577,0.0001802370240929422,0.026506012453531513,0.0016848041036042723,0.053716485979828144,0.003458945253281615,0.027230034008189907,0.0017778995181834296,0.04783550619346166,0.002648677822780498,0.023637821761598232,0.0012938620282368736,0.03458550926005118,0.0012060432805759591,0.024333396260867526,5.6300723047454544e-05,0.9764539930555555,0.0009944825726900734,0.9596354166666666,0.0017048272674686903,0.5833333333333334,0.0,0.7019314236111112,0.021652233826816008,1.0,0.0,1.0,0.0,1.0,0.0
plain,value,64,3,5000.0,0.0,0.0012209803996150112,6.693366642831937e-05,0.015924812488226015,0.0008179247928152491,0.032103670629881655,0.0016616718668317773,0.016183018009539918,0.0008443790331239656,0.028276001682528123,0.0034434350401395825,0.014121501867862504,0.001763994962405494,0.031827315178873196,0.000730444561202394,0.024202078317354724,5.658546011295789e-05,0.9774305555555555,0.00018793954075185267,0.9613095238095237,0.00032218206986027307,0.5833333333333334,0.0,0.8243272569444445,0.007855333245546107,1.0,0.0,1.0,0.0,1.0,0.0
plain,value,128,3,18184.0,0.0,0.0008177286574961505,3.626328555442502e-05,0.011449057296013268,0.001040608372568071,0.0230299174155173,0.0021053743046482846,0.011582413069427458,0.001065197746930882,0.019692042214524808,0.002201374496345254,0.009854220536763917,0.001040967768098524,0.02869638129833844,0.0001088932968341839,0.02424836597009219,0.00011003924272148506,0.9766710069444445,0.00018793954075185267,0.9600074404761904,0.00032218206986027307,0.5833333333333334,0.0,0.8746744791666666,0.01390625609589444,0.9993840600834064,0.0005664167681038494,1.0,0.0,1.0,0.0
plain,value,256,3,69128.0,0.0,0.0007191481089055806,3.506488123552101e-05,0.009146050877929848,0.0007501350625599226,0.018376127137596097,0.0015142655235862632,0.009230862715690069,0.0007643304012184193,0.01571837328386294,0.0014014497275147873,0.007890482745631977,0.0007062111319549736,0.02776401556052936,0.0006488477338802028,0.024160517113999455,8.820531149823588e-05,0.9772135416666666,0.00032552083333331483,0.9609375,0.0005580357142856984,0.5833333333333334,0.0,0.903103298611111,0.008736662210677378,0.9982038307801773,0.0009406697427273188,1.0,0.0,1.0,0.0
warped,c1,4,3,80.0,0.0,0.022527590229145526,0.0005360122936687076,0.2910087558600949,0.009307615080203774,1.223695100808003,0.04337470906712352,nan,nan,0.7692988406758419,0.02052278639981545,0.3301350252996982,0.0077125041471454575,0.2463374909945216,0.039360712432085644,0.06705529273049747,0.0022839095206221025,0.9286024305555557,0.004248431412858467,0.8758021895054737,0.007390249886920273,0.5748697916666666,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
warped,c1,8,3,184.0,0.0,0.017811379609180878,9.773856929013812e-05,0.22575805448410016,0.0024139215634343346,0.9262342415695247,0.010752073939639726,0.7288733134893711,0.019598914213898075,0.6142645229741815,0.010425761470624356,0.2705326887276103,0.004100582050861582,0.2311671236039897,0.0133014568882918,0.06556987273179894,0.0007317308998403378,0.9338107638888888,0.0004972412863450428,0.8848622121555304,0.0008649633248312181,0.5748697916666666,0.0,0.016276041666666668,0.004306235857852524,1.0,0.0,0.0,0.0,0.0,0.0
warped,c1,16,3,488.0,0.0,0.012570323964611574,0.003106837327013978,0.19831501530315124,0.028514165987053638,0.8059795632242869,0.12465075226046414,0.5775603635182508,0.15279982152254365,0.47352364902681304,0.13482146685501065,0.21305986815476308,0.0549008920578023,0.16332388038955634,0.04934039596850077,0.044401081060405266,0.011889075591856549,0.9580078125,0.01453223586298809,0.9269535673839183,0.02527917812633038,0.5748697916666666,0.0,0.05360243055555556,0.04037158317442183,1.0,0.0,0.0,0.0,0.0,0.0
warped,c1,32,3,1480.0,0.0,0.0027042387710883038,0.00018662847890027682,0.05460813238494714,0.004157780291782494,0.20945795406939818,0.016285786264374446,0.11090694995062078,0.009131890644370984,0.08716061145908438,0.010749468624007314,0.04266142439589515,0.005162199503223698,0.03608730323656628,0.005036543206433416,0.012396700642539721,0.0004351456050117332,0.988064236111111,0.0008192094656326597,0.9792374480936202,0.0014250348122443808,0.5748697916666666,0.0,0.34418402777777773,0.01260876840425025,1.0,0.0,0.0,0.0,1.0,0.0
warped,c1,64,3,5000.0,0.0,0.0011426077045694762,5.537760625278645e-05,0.025688185153948908,0.0017813358326463384,0.0973650666628334,0.00682022901286193,0.04993349572508935,0.0035855526808003186,0.03895474482904171,0.0015293571282638061,0.01941250157503734,0.0006815114520136125,0.027938509229797164,0.0017800884016624255,0.009859359338043808,9.041523340011477e-05,0.9917534722222222,0.0008192094656327111,0.9856549641374103,0.0014250348122443806,0.5748697916666666,0.0,0.4444444444444444,0.03570851274284794,1.0,0.0,0.3333333333333333,0.5773502691896258,1.0,0.0
warped,c1,128,3,18184.0,0.0,0.0008342039107589666,4.8351379937687247e-05,0.02100816505698419,0.0010368245311002504,0.07947133719671207,0.003956159709468763,0.040559627150117815,0.0020617040162144882,0.029203414929847904,0.0036387142847227726,0.014547971193656398,0.001704996991359443,0.027187293926380047,0.0007995593971296143,0.009821384500007357,7.969945804401966e-05,0.9912109375,0.0006510416666666297,0.9847112117780296,0.0011325028312570984,0.5748697916666666,0.0,0.5389539930555556,0.022331614920074905,1.0,0.0,1.0,0.0,1.0,0.0
warped,c1,256,3,69128.0,0.0,0.0006808679208500445,4.3577424215345624e-05,0.017232733399486153,0.002208097590843648,0.06509184019140363,0.008401407315375854,0.033100025493898864,0.004347259256818308,0.019804141118652214,0.002652633100046191,0.009896507529800166,0.0013881408082889938,0.025281255617439474,0.0010258518577160186,0.009685441881973256,0.00010518932715012979,0.9913194444444443,0.0004972412863450306,0.9848999622499056,0.0008649633248312181,0.5748697916666666,0.0,0.628689236111111,0.05066565591796678,1.0,0.0,1.0,0.0,1.0,0.0
warped,value,4,3,80.0,0.0,0.02878128345802128,0.0018534607190741133,0.33569803984797214,0.007559586107078164,1.435010262220277,0.03628373173390125,nan,nan,0.8639108751627281,0.05006895054951843,0.3651690955836835,0.01833912317788511,0.28624655334459415,0.05376116180052564,0.07924673829689334,0.002976428549854732,0.9168836805555555,0.0034806890044152394,0.8554171385428463,0.006054743273818563,0.5748697916666666,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
warped,value,8,3,184.0,0.0,0.020297847128481417,0.0004921060729573812,0.2668120530810249,0.009165218329849095,1.1118649998153027,0.04193867432467613,nan,nan,0.7328367248959283,0.035850482189598604,0.3163257674808464,0.013594048066481687,0.24414665907900082,0.014561901138257517,0.06935338905546214,0.0004167117716668751,0.9269748263888888,0.00302460066509689,0.872970932427331,0.005261366502365553,0.5748697916666666,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
warped,value,16,3,488.0,0.0,0.018015625894413575,0.00010772445846251828,0.22574968687087393,0.002064110284083289,0.9261953280936014,0.009196200072922435,0.7286818137114722,0.01693134794556265,0.6081872865916477,0.016772744660412297,0.2681317797443186,0.006604066264950561,0.24538111325338488,0.0020567514596911106,0.06583901461164493,0.0007648885908735614,0.9314236111111112,0.0004972412863450428,0.8807097017742546,0.0008649633248312665,0.5748697916666666,0.0,0.01638454861111111,0.0037019796243993016,1.0,0.0,0.0,0.0,0.0,0.0
warped,value,32,3,1480.0,0.0,0.0177373995570458,1.951451529123904e-05,0.21931540803579527,0.0009842880262060725,0.8975888646402524,0.00436638471393042,0.6800315937869889,0.006857957267261105,0.606865146701107,0.012761077598624822,0.26761519827325037,0.005028291127506504,0.23248847723738453,0.005800903253137108,0.06610712743743724,0.0001752615292100382,0.9330512152777778,0.0011431915964466562,0.8835409588523971,0.001988609617374949,0.5748697916666666,0.0,0.02463107638888889,0.0010464030773646874,1.0,0.0,0.0,0.0,0.0,0.0
warped,value,64,3,5000.0,0.0,0.017550930620625817,4.072062881108126e-05,0.2132786983425579,0.0005592614670922576,0.8708701370381672,0.0024702358479269915,0.6406645769786311,0.0034460246415257854,0.5855692978486559,0.006483302834161786,0.2591921515808533,0.002575823898468749,0.23105702792861918,0.005020007487223575,0.06554554008329534,0.0007855970035317984,0.931857638888889,0.00018793954075185267,0.8814647036617592,0.0003269254072421816,0.5748697916666666,0.0,0.03200954861111111,0.0009944825726900678,1.0,0.0,0.0,0.0,0.0,0.0
warped,value,128,3,18184.0,0.0,0.016758754674726956,0.0007212958672237505,0.20906051865012376,0.0024791130948817624,0.852274441489136,0.010910772329201675,0.6158204548773384,0.014051812349767146,0.5589583027643288,0.017024559478299527,0.24857008450461468,0.006824241108157447,0.2091487036327615,0.019357609431117213,0.062459115546715384,0.0028544639515694055,0.9360894097222222,0.0035708512742847827,0.8888259720649302,0.006211582737600757,0.5748697916666666,0.0,0.03797743055555555,0.0017928289541946955,1.0,0.0,0.0,0.0,0.0,0.0
warped,value,256,3,69128.0,0.0,0.013082114462418,0.0012787972963287345,0.20906849947608086,0.004221332246287168,0.8523217437183276,0.018590277311018488,0.6162234555320646,0.02430494387742504,0.4453400921781323,0.04391766404257669,0.20212989956504349,0.018321984739824746,0.15405084358141133,0.024176422174109563,0.046700798744109755,0.004635975050264481,0.9526909722222223,0.003585657908389407,0.9177047942619856,0.0062373392381496065,0.5748697916666666,0.0,0.03689236111111111,0.005262307141051275,1.0,0.0,0.0,0.0,0.0,0.0
