experiment,method,selected_seed,step,objective
mnist,free_2d_reference,0,340,0.013331209240030268
mnist,free_2d_reference,0,350,0.012944602227349729
mnist,free_2d_reference,0,360,0.013000087935527966
mnist,free_2d_reference,0,370,0.012892929653538675
mnist,free_2d_reference,0,380,0.013128404057164682
mnist,free_2d_reference,0,390,0.013013254379309986
mnist,free_2d_reference,0,400,0.012889010330666566
mnist,free_2d_reference,0,410,0.012903988811936466
mnist,free_2d_reference,0,420,0.012945746630290305
mnist,free_2d_reference,0,430,0.012979005098022177
mnist,free_2d_reference,0,440,0.012986472757680292
mnist,free_2d_reference,0,450,0.013030671527374067
mnist,free_2d_reference,0,460,0.012958868366996919
mnist,free_2d_reference,0,470,0.013141914891069695
mnist,free_2d_reference,0,480,0.012961562608655457
mnist,free_2d_reference,0,490,0.013490856683824869
mnist,free_2d_reference,0,500,0.013113484732718289
mnist,free_2d_reference,0,510,0.013184667467844332
mnist,free_2d_reference,0,520,0.013457632386577352
