model,true_sphere_distance,learned_distance
r2_gw,0.8425406217575073,0.6604079008102417
r2_gw,0.5856002569198608,0.4573325216770172
r2_gw,0.4356761872768402,0.2499849796295166
r2_gw,0.7693208456039429,0.11602136492729187
r2_gw,0.38119199872016907,0.16212715208530426
r2_gw,0.7271220088005066,0.45730140805244446
r2_gw,0.9075736999511719,0.5794305205345154
r2_gw,0.9269897937774658,0.5675421953201294
r2_gw,0.6499441862106323,0.39777883887290955
r2_gw,0.8622020483016968,0.4904974102973938
r2_gw,0.9536475539207458,0.7405821681022644
r2_gw,0.9867531657218933,0.7088532447814941
r2_gw,0.8224734663963318,0.24460817873477936
r2_gw,0.39595943689346313,0.29711535573005676
r2_gw,0.6068283915519714,0.4882113039493561
r2_gw,0.8940849304199219,0.6173829436302185
r2_gw,0.23788368701934814,0.1779995709657669
r2_gw,0.8013325929641724,0.5321633219718933
r2_gw,0.6368996500968933,0.4896881878376007
r2_gw,0.3832195997238159,0.17779527604579926
r2_gw,0.8912439942359924,0.7055853605270386
r2_gw,0.43762460350990295,0.5049139261245728
r2_gw,0.44703805446624756,0.16629812121391296
r2_gw,0.9423189759254456,0.6240774393081665
r2_gw,0.5715050101280212,0.26813992857933044
r2_gw,0.4360169768333435,0.457934707403183
r2_gw,0.9995837807655334,0.6158406138420105
r2_gw,0.7912383675575256,0.6768508553504944
r2_gw,0.6874457597732544,0.1732393205165863
r2_gw,0.8964247107505798,0.5899156928062439
r2_gw,0.7110466361045837,0.5882231593132019
r2_gw,0.9313436150550842,0.6093032956123352
r2_gw,0.8285062313079834,0.47374626994132996
r2_gw,0.6330100297927856,0.264026939868927
r2_gw,0.2844364047050476,0.14438053965568542
r2_gw,0.5088946223258972,0.31794634461402893
r2_gw,0.5802510380744934,0.4832800030708313
r2_gw,0.40524518489837646,0.5601423382759094
r2_gw,0.9253088235855103,0.6160385608673096
r2_gw,0.21503911912441254,0.09424009919166565
r2_gw,0.7145960927009583,0.46534669399261475
r2_gw,0.9041022062301636,0.5370156168937683
r2_gw,0.6345444917678833,0.2241225242614746
r2_gw,0.2650330662727356,0.07821688055992126
r2_gw,0.9444445967674255,0.6931793689727783
r2_gw,0.9728426933288574,0.6512410640716553
r2_gw,0.7413011789321899,0.5321253538131714
r2_gw,0.8190829753875732,0.5005769729614258
r2_gw,0.6035629510879517,0.6246768832206726
r2_gw,0.8596498966217041,0.8174632787704468
r2_gw,0.3376389741897583,0.2778800129890442
